vin,Ron_1u_0_13u_wo_dummy,Ron_2u_0_13u_wo_dummy,Ron_2u_0_13u_w_dummy,Ron_2u_0_50u_wo_dummy
0.000000000000000000e+00,5.332308910000000957e-01,2.551196530000000018e-01,2.551181349999999681e-01,6.972313830000000934e-01
2.000000000000000042e-02,5.421358560000000271e-01,2.591274559999999783e-01,2.591261059999999672e-01,7.050894439999999541e-01
4.000000000000000083e-02,5.516213089999999486e-01,2.633945850000000144e-01,2.633933760000000124e-01,7.133542929999999727e-01
5.999999999999999778e-02,5.617050909999999897e-01,2.679279869999999786e-01,2.679268999999999679e-01,7.220278879999999511e-01
8.000000000000000167e-02,5.724383149999999754e-01,2.727501509999999962e-01,2.727491699999999852e-01,7.311378580000000849e-01
1.000000000000000056e-01,5.838776880000000613e-01,2.778860060000000187e-01,2.778851149999999604e-01,7.407142260000000311e-01
1.199999999999999956e-01,5.960862580000000355e-01,2.833632420000000152e-01,2.833624279999999995e-01,7.507896630000000515e-01
1.400000000000000133e-01,6.091343000000000174e-01,2.892126899999999945e-01,2.892119410000000279e-01,7.613997930000000469e-01
1.600000000000000033e-01,6.231003320000000345e-01,2.954687639999999949e-01,2.954680700000000271e-01,7.725835269999999921e-01
1.799999999999999933e-01,6.380723099999999759e-01,3.021699730000000361e-01,3.021693240000000169e-01,7.843834440000000408e-01
2.000000000000000111e-01,6.541490240000000789e-01,3.093595220000000534e-01,3.093589099999999870e-01,7.968462290000000170e-01
2.200000000000000011e-01,6.714417440000000070e-01,3.170860200000000240e-01,3.170854379999999972e-01,8.100231629999999905e-01
2.399999999999999911e-01,6.900761509999999710e-01,3.254043040000000331e-01,3.254037450000000220e-01,8.239706810000000381e-01
2.600000000000000089e-01,7.101946150000000291e-01,3.343764200000000075e-01,3.343758780000000153e-01,8.387509770000000087e-01
2.800000000000000266e-01,7.319588750000000088e-01,3.440727640000000309e-01,3.440722350000000040e-01,8.544326740000000031e-01
2.999999999999999889e-01,7.555531829999999616e-01,3.545734279999999683e-01,3.545729069999999927e-01,8.710914599999999286e-01
3.200000000000000067e-01,7.811879419999999685e-01,3.659697410000000151e-01,3.659692239999999819e-01,8.888106020000000607e-01
3.400000000000000244e-01,8.091038220000000836e-01,3.783660169999999989e-01,3.783655000000000213e-01,9.076809879999999664e-01
3.599999999999999867e-01,8.395761860000000576e-01,3.918814139999999835e-01,3.918808920000000362e-01,9.278000210000000303e-01
3.800000000000000044e-01,8.729193530000000090e-01,4.066516820000000143e-01,4.066511530000000429e-01,9.492678499999999131e-01
4.000000000000000222e-01,9.094895410000000124e-01,4.228302949999999671e-01,4.228297549999999738e-01,9.721780580000000116e-01
4.199999999999999845e-01,9.496840989999999483e-01,4.405878559999999999e-01,4.405873020000000140e-01,9.965981860000000525e-01
4.400000000000000022e-01,9.939324830000000333e-01,4.601077630000000029e-01,4.601071910000000265e-01,1.022536689999999915e+00
4.600000000000000200e-01,1.042671880000000106e+00,4.815750719999999929e-01,4.815744799999999715e-01,1.049907040000000125e+00
4.799999999999999822e-01,1.096300320000000106e+00,5.051559219999999240e-01,5.051553069999999979e-01,1.078533790000000048e+00
5.000000000000000000e-01,1.155110950000000081e+00,5.309708189999999828e-01,5.309701770000000431e-01,1.108248890000000042e+00
5.200000000000000178e-01,1.219241339999999951e+00,5.590792460000000297e-01,5.590785750000000220e-01,1.139020539999999970e+00
5.400000000000000355e-01,1.288697329999999974e+00,5.895012229999999631e-01,5.895005220000000268e-01,1.170986050000000001e+00
5.600000000000000533e-01,1.363466049999999985e+00,6.222738620000000109e-01,6.222731290000000914e-01,1.204392090000000026e+00
5.799999999999999600e-01,1.443631380000000020e+00,6.574982369999999854e-01,6.574974719999999717e-01,1.239533349999999867e+00
5.999999999999999778e-01,1.529400749999999976e+00,6.951443339999999749e-01,6.951435400000000042e-01,1.276724769999999953e+00
6.199999999999999956e-01,1.620438009999999984e+00,7.358009749999999682e-01,7.358001520000000406e-01,1.316296039999999890e+00
6.400000000000000133e-01,1.718166349999999953e+00,7.795122030000000146e-01,7.795113550000000169e-01,1.358626559999999817e+00
6.600000000000000311e-01,1.822215300000000093e+00,8.264868380000000014e-01,8.264859699999999032e-01,1.404036679999999926e+00
6.800000000000000488e-01,1.932604760000000033e+00,8.768923079999999537e-01,8.768914270000000011e-01,1.452950509999999973e+00
6.999999999999999556e-01,2.049110100000000045e+00,9.308213060000000150e-01,9.308204230000000079e-01,1.505812449999999858e+00
7.199999999999999734e-01,2.171161779999999819e+00,9.882491410000000531e-01,9.882482730000000659e-01,1.563113340000000129e+00
7.399999999999999911e-01,2.297728320000000046e+00,1.048978799999999989e+00,1.048977959999999987e+00,1.625397709999999885e+00
7.600000000000000089e-01,2.427186540000000115e+00,1.112572329999999887e+00,1.112571560000000126e+00,1.693270709999999957e+00
7.800000000000000266e-01,2.557191009999999931e+00,1.178269960000000172e+00,1.178269280000000085e+00,1.767404369999999947e+00
8.000000000000000444e-01,2.684565430000000141e+00,1.244902479999999922e+00,1.244901939999999874e+00,1.848542269999999821e+00
8.199999999999999512e-01,2.805250379999999932e+00,1.310809829999999954e+00,1.310809479999999860e+00,1.937501230000000074e+00
8.399999999999999689e-01,2.914354330000000104e+00,1.373787719999999934e+00,1.373787610000000159e+00,2.035167410000000121e+00
8.599999999999999867e-01,3.006361980000000322e+00,1.431095769999999989e+00,1.431095970000000106e+00,2.142482970000000098e+00
8.800000000000000044e-01,3.075554260000000095e+00,1.479570990000000030e+00,1.479571540000000018e+00,2.260416900000000062e+00
9.000000000000000222e-01,3.116684789999999872e+00,1.515897009999999989e+00,1.515897969999999928e+00,2.389909980000000100e+00
