t_analog,t_recon,analog_signal,spikes,recon
0.000000000000000000e+00,2.125839999999999935e-03,1.649999999999999911e+00,2.500000000000000000e-01,1.856249999999999734e+00
2.977963073257891776e-07,3.236880000000000139e-03,1.651871105015492613e+00,2.500000000000000000e-01,1.959374999999999645e+00
5.955926146515783553e-07,4.376419999999999789e-03,1.653742183827684675e+00,2.500000000000000000e-01,2.062499999999999556e+00
8.933889219773675329e-07,5.522759999999999822e-03,1.655613210233642274e+00,2.500000000000000000e-01,2.165624999999999467e+00
1.191185229303156711e-06,6.703139999999999793e-03,1.657484158031165666e+00,2.500000000000000000e-01,2.268749999999999378e+00
1.488981536628945888e-06,7.933880000000000793e-03,1.659355001019155784e+00,2.500000000000000000e-01,2.371874999999999289e+00
1.786777843954735066e-06,9.221419999999999270e-03,1.661225712997981496e+00,2.500000000000000000e-01,2.474999999999999201e+00
2.084574151280524032e-06,1.057471999999999926e-02,1.663096267769846204e+00,2.500000000000000000e-01,2.578124999999999112e+00
2.382370458606313421e-06,1.199895999999999949e-02,1.664966639139154880e+00,2.500000000000000000e-01,2.681249999999999023e+00
2.680166765932102811e-06,1.359684000000000066e-02,1.666836800912881333e+00,2.500000000000000000e-01,2.784374999999998934e+00
2.977963073257891776e-06,1.540331999999999986e-02,1.668706726900933690e+00,2.500000000000000000e-01,2.887499999999998845e+00
3.275759380583680742e-06,1.753367999999999940e-02,1.670576390916522769e+00,2.500000000000000000e-01,2.990624999999998757e+00
3.573555687909470132e-06,2.055134000000000127e-02,1.672445766776528009e+00,2.500000000000000000e-01,3.093749999999998668e+00
3.871351995235259521e-06,3.254888000000000225e-02,1.674314828301864067e+00,-2.500000000000000000e-01,2.990624999999998757e+00
4.169148302561048063e-06,3.467115999999999948e-02,1.676183549317847854e+00,-2.500000000000000000e-01,2.887499999999998845e+00
4.466944609886837453e-06,3.643466000000000066e-02,1.678051903654564248e+00,-2.500000000000000000e-01,2.784374999999998934e+00
4.764740917212626842e-06,3.801670000000000049e-02,1.679919865147233793e+00,-2.500000000000000000e-01,2.681249999999999023e+00
5.062537224538416232e-06,3.945571999999999968e-02,1.681787407636578413e+00,-2.500000000000000000e-01,2.578124999999999112e+00
5.360333531864205621e-06,4.080705999999999917e-02,1.683654504969187560e+00,-2.500000000000000000e-01,2.474999999999999201e+00
5.658129839189994163e-06,4.205818000000000056e-02,1.685521130997884809e+00,-2.500000000000000000e-01,2.371874999999999289e+00
5.955926146515783553e-06,4.329681999999999975e-02,1.687387259582094012e+00,-2.500000000000000000e-01,2.268749999999999378e+00
6.253722453841572942e-06,4.446053999999999978e-02,1.689252864588205449e+00,-2.500000000000000000e-01,2.165624999999999467e+00
6.551518761167361485e-06,4.561656000000000044e-02,1.691117919889941756e+00,-2.500000000000000000e-01,2.062499999999999556e+00
6.849315068493150874e-06,4.674281999999999743e-02,1.692982399368723190e+00,-2.500000000000000000e-01,1.959374999999999645e+00
7.147111375818940263e-06,4.784124000000000015e-02,1.694846276914034444e+00,-2.500000000000000000e-01,1.856249999999999734e+00
7.444907683144729653e-06,4.893805999999999851e-02,1.696709526423789693e+00,-2.500000000000000000e-01,1.753124999999999822e+00
7.742703990470519042e-06,5.003084000000000003e-02,1.698572121804698298e+00,-2.500000000000000000e-01,1.649999999999999911e+00
8.040500297796308432e-06,5.112123999999999835e-02,1.700434036972629848e+00,-2.500000000000000000e-01,1.546875000000000000e+00
