t_analog,t_recon,analog_signal,spikes,recon
0.000000000000000000e+00,8.124999999999999288e-06,7.500000000000000000e-01,2.500000000000000000e-01,7.968750000000000000e-01
1.250000000000000060e-05,1.574999999999999998e-05,8.282172325201154761e-01,2.500000000000000000e-01,8.437500000000000000e-01
2.500000000000000120e-05,2.349999999999999862e-05,9.045084971874737256e-01,2.500000000000000000e-01,8.906250000000000000e-01
3.750000000000000349e-05,3.149999999999999995e-05,9.769952498697733745e-01,2.500000000000000000e-01,9.375000000000000000e-01
5.000000000000000240e-05,3.974999999999999720e-05,1.043892626146236680e+00,2.500000000000000000e-01,9.843750000000000000e-01
6.250000000000000130e-05,4.862500000000000286e-05,1.103553390593273731e+00,2.500000000000000000e-01,1.031250000000000000e+00
7.500000000000000698e-05,5.824999999999999964e-05,1.154508497187473726e+00,2.500000000000000000e-01,1.078125000000000000e+00
8.749999999999999911e-05,6.899999999999999667e-05,1.195503262094183894e+00,2.500000000000000000e-01,1.125000000000000000e+00
1.000000000000000048e-04,8.187499999999999791e-05,1.225528258147576821e+00,2.500000000000000000e-01,1.171875000000000000e+00
1.125000000000000105e-04,1.000000000000000048e-04,1.243844170297568885e+00,2.500000000000000000e-01,1.218750000000000000e+00
1.250000000000000026e-04,1.679999999999999907e-04,1.250000000000000000e+00,-2.500000000000000000e-01,1.171875000000000000e+00
1.375000000000000083e-04,1.808749999999999919e-04,1.243844170297568885e+00,-2.500000000000000000e-01,1.125000000000000000e+00
1.500000000000000140e-04,1.916250000000000093e-04,1.225528258147576821e+00,-2.500000000000000000e-01,1.078125000000000000e+00
1.625000000000000196e-04,2.012500000000000129e-04,1.195503262094183894e+00,-2.500000000000000000e-01,1.031250000000000000e+00
1.749999999999999982e-04,2.101249999999999982e-04,1.154508497187473726e+00,-2.500000000000000000e-01,9.843750000000000000e-01
1.875000000000000039e-04,2.183750000000000090e-04,1.103553390593273731e+00,-2.500000000000000000e-01,9.375000000000000000e-01
2.000000000000000096e-04,2.263749999999999866e-04,1.043892626146236680e+00,-2.500000000000000000e-01,8.906250000000000000e-01
2.125000000000000153e-04,2.341250000000000124e-04,9.769952498697733745e-01,-2.500000000000000000e-01,8.437500000000000000e-01
2.250000000000000209e-04,2.417499999999999944e-04,9.045084971874737256e-01,-2.500000000000000000e-01,7.968750000000000000e-01
2.374999999999999995e-04,2.492500000000000141e-04,8.282172325201154761e-01,-2.500000000000000000e-01,7.500000000000000000e-01
2.500000000000000052e-04,2.567499999999999795e-04,7.500000000000001110e-01,-2.500000000000000000e-01,7.031250000000000000e-01
2.625000000000000380e-04,2.642499999999999992e-04,6.717827674798844129e-01,-2.500000000000000000e-01,6.562500000000000000e-01
2.750000000000000166e-04,2.719999999999999979e-04,5.954915028125263854e-01,-2.500000000000000000e-01,6.093750000000000000e-01
2.874999999999999951e-04,2.798750000000000131e-04,5.230047501302268476e-01,-2.500000000000000000e-01,5.625000000000000000e-01
3.000000000000000279e-04,2.881250000000000239e-04,4.561073738537634870e-01,-2.500000000000000000e-01,5.156250000000000000e-01
3.125000000000000065e-04,2.968749999999999926e-04,3.964466094067262691e-01,-2.500000000000000000e-01,4.687500000000000000e-01
3.250000000000000393e-04,3.062499999999999901e-04,3.454915028125263299e-01,-2.500000000000000000e-01,4.218750000000000000e-01
3.375000000000000179e-04,3.167499999999999743e-04,3.044967379058161061e-01,-2.500000000000000000e-01,3.750000000000000000e-01
3.499999999999999964e-04,3.291249999999999905e-04,2.744717418524232344e-01,-2.500000000000000000e-01,3.281250000000000000e-01
3.625000000000000292e-04,3.456250000000000121e-04,2.561558297024311703e-01,-2.500000000000000000e-01,2.812500000000000000e-01
3.750000000000000078e-04,4.207500000000000085e-04,2.500000000000000000e-01,2.500000000000000000e-01,3.281250000000000000e-01
3.875000000000000406e-04,4.331250000000000247e-04,2.561558297024311148e-01,2.500000000000000000e-01,3.750000000000000000e-01
4.000000000000000192e-04,4.436250000000000089e-04,2.744717418524231789e-01,2.500000000000000000e-01,4.218750000000000000e-01
4.124999999999999977e-04,4.530000000000000064e-04,3.044967379058159951e-01,2.500000000000000000e-01,4.687500000000000000e-01
4.250000000000000305e-04,4.617499999999999751e-04,3.454915028125262189e-01,2.500000000000000000e-01,5.156250000000000000e-01
4.375000000000000091e-04,4.699999999999999859e-04,3.964466094067261581e-01,2.500000000000000000e-01,5.625000000000000000e-01
4.500000000000000419e-04,4.778750000000000012e-04,4.561073738537633204e-01,2.500000000000000000e-01,6.093750000000000000e-01
4.625000000000000205e-04,4.856249999999999998e-04,5.230047501302265145e-01,2.500000000000000000e-01,6.562500000000000000e-01
4.749999999999999990e-04,4.931249999999999653e-04,5.954915028125261633e-01,2.500000000000000000e-01,7.031250000000000000e-01
4.875000000000000318e-04,5.006249999999999849e-04,6.717827674798844129e-01,2.500000000000000000e-01,7.500000000000000000e-01
5.000000000000000104e-04,5.081250000000000046e-04,7.499999999999998890e-01,2.500000000000000000e-01,7.968750000000000000e-01
