f,PSD_R2_in_0,PSD_R2_in_1,PSD_R2_in_2
1.000000000000000048e-04,1.204278502708419182e-06,4.817114010833676728e-06,1.204278502708419114e-04
1.258925411794167436e-04,7.598483660834872928e-07,3.039393464333949171e-06,7.598483660834872886e-05
1.584893192461114190e-04,4.794319072716504887e-07,1.917727629086601955e-06,4.794319072716505734e-05
1.995262314968878758e-04,3.025010830711954221e-07,1.210004332284781688e-06,3.025010830711953924e-05
2.511886431509579545e-04,1.908652800769837197e-07,7.634611203079348789e-07,1.908652800769837504e-05
3.162277660168379394e-04,1.204278502708419182e-07,4.817114010833676728e-07,1.204278502708419182e-05
3.981071705534973523e-04,7.598483660834868693e-08,3.039393464333947477e-07,7.598483660834870175e-06
5.011872336272725275e-04,4.794319072716504887e-08,1.917727629086601955e-07,4.794319072716504887e-06
6.309573444801929842e-04,3.025010830711953956e-08,1.210004332284781582e-07,3.025010830711954009e-06
7.943282347242813140e-04,1.908652800769837396e-08,7.634611203079349583e-08,1.908652800769837250e-06
1.000000000000000021e-03,1.204278502708419447e-08,4.817114010833677787e-08,1.204278502708419182e-06
1.258925411794167490e-03,7.598483660834872333e-09,3.039393464333948933e-08,7.598483660834871869e-07
1.584893192461114082e-03,4.794319072716506045e-09,1.917727629086602418e-08,4.794319072716505946e-07
1.995262314968878920e-03,3.025010830711953791e-09,1.210004332284781516e-08,3.025010830711954221e-07
2.511886431509582039e-03,1.908652800769833508e-09,7.634611203079334032e-09,1.908652800769833492e-07
3.162277660168379394e-03,1.204278502708419323e-09,4.817114010833677290e-09,1.204278502708419182e-07
3.981071705534973415e-03,7.598483660834870472e-10,3.039393464333948189e-09,7.598483660834870017e-08
5.011872336272724625e-03,4.794319072716507286e-10,1.917727629086602914e-09,4.794319072716507534e-08
6.309573444801930275e-03,3.025010830711954101e-10,1.210004332284781640e-09,3.025010830711953956e-08
7.943282347242820729e-03,1.908652800769833715e-10,7.634611203079334860e-10,1.908652800769833756e-08
