wout,mag_total_0,mag_total_1,phase_total_0,phase_total_1
1.000000000000000021e-02,1.641779839776324934e+01,1.041149862237269375e+01,-9.379604787301676083e+01,-9.190011500306341929e+01
1.018591388054116906e-02,1.657708408457761706e+01,1.057131944405833579e+01,-9.386640956239499189e+01,-9.193541415776478232e+01
1.037528415818012723e-02,1.673634308851309527e+01,1.073113354927912511e+01,-9.393806736677640856e+01,-9.197136806164814971e+01
1.056817509213658565e-02,1.689557441765207813e+01,1.089094068657351144e+01,-9.401104470489126186e+01,-9.200798880168940741e+01
1.076465213629834890e-02,1.705477704356901469e+01,1.105074059508853068e+01,-9.408536539275826271e+01,-9.204528868472081626e+01
1.096478196143185063e-02,1.721394990001461167e+01,1.121053300423085375e+01,-9.416105364894582408e+01,-9.208328024124386957e+01
1.116863247780561230e-02,1.737309188155461115e+01,1.137031763330495160e+01,-9.423813409981420364e+01,-9.212197622929727459e+01
1.137627285823430978e-02,1.753220184216193189e+01,1.153009419113802458e+01,-9.431663178473182541e+01,-9.216138963838076847e+01
1.158777356155126122e-02,1.769127859376069622e+01,1.168986237569111353e+01,-9.439657216125873163e+01,-9.220153369343434235e+01
1.180320635651730017e-02,1.785032090472059707e+01,1.184962187365599107e+01,-9.447798111028957635e+01,-9.224242185887349876e+01
1.202264434617413176e-02,1.800932749830025514e+01,1.200937236003723818e+01,-9.456088494114835896e+01,-9.228406784267993146e+01
1.224616199265048978e-02,1.816829705103795689e+01,1.216911349771902451e+01,-9.464531039662578848e+01,-9.232648560054830966e+01
1.247383514242943192e-02,1.832722819108829171e+01,1.232884493701608797e+01,-9.473128465795079478e+01,-9.236968934008831411e+01
1.270574105208541887e-02,1.848611949650302932e+01,1.248856631520823868e+01,-9.481883534968589800e+01,-9.241369352508240809e+01
1.294195841449986319e-02,1.864496949345476651e+01,1.264827725605789333e+01,-9.490799054453661654e+01,-9.245851287979864708e+01
1.318256738556407466e-02,1.880377665440166268e+01,1.280797736931004671e+01,-9.499877876806375809e+01,-9.250416239335845603e+01
1.342764961137864199e-02,1.896253939619155915e+01,1.296766625017396812e+01,-9.509122900328688388e+01,-9.255065732415894786e+01
1.367728825595849670e-02,1.912125607810397199e+01,1.312734347878608787e+01,-9.518537069516695226e+01,-9.259801320434925742e+01
1.393156802945303557e-02,1.927992499982815389e+01,1.328700861965334212e+01,-9.528123375495481184e+01,-9.264624584436037935e+01
1.419057521689091883e-02,1.943854439937556577e+01,1.344666122107630102e+01,-9.537884856439200121e+01,-9.269537133748777080e+01
1.445439770745927249e-02,1.959711245092509913e+01,1.360630081455140683e+01,-9.547824597974911853e+01,-9.274540606452610803e+01
1.472312502432718793e-02,1.975562726259923707e+01,1.376592691415154768e+01,-9.557945733568628555e+01,-9.279636669845521624e+01
1.499684835502373276e-02,1.991408687416953427e+01,1.392553901588424381e+01,-9.568251444891960489e+01,-9.284827020917602169e+01
1.527566058238072171e-02,2.007248925468962497e+01,1.408513659702668619e+01,-9.578744962167613153e+01,-9.290113386829585806e+01
1.555965631605074270e-02,2.023083230005401489e+01,1.424471911543675517e+01,-9.589429564491945257e+01,-9.295497525396136496e+01
1.584893192461113431e-02,2.038911383048100134e+01,1.440428600883929278e+01,-9.600308580132656289e+01,-9.300981225573801225e+01
1.614358556826486074e-02,2.054733158791794878e+01,1.456383669408669412e+01,-9.611385386799557295e+01,-9.306566307953445971e+01
1.644371723214931372e-02,2.070548323336728558e+01,1.472337056639299213e+01,-9.622663411886351525e+01,-9.312254625257013174e+01
1.674942876026437252e-02,2.086356634413144917e+01,1.488288699854050279e+01,-9.634146132681141239e+01,-9.318048062838417422e+01
1.706082389003123548e-02,2.102157841097525193e+01,1.504238534005811800e+01,-9.645837076543298849e+01,-9.323948539188364748e+01
1.737800828749375484e-02,2.117951683520394113e+01,1.520186491637030279e+01,-9.657739821044249595e+01,-9.329958006442899432e+01
1.770108958317421002e-02,2.133737892565552130e+01,1.536132502791574872e+01,-9.669857994069531060e+01,-9.336078450895385572e+01
1.803017740859568993e-02,2.149516189560561230e+01,1.552076494923476346e+01,-9.682195273879410991e+01,-9.342311893511720200e+01
1.836538343348346342e-02,2.165286285958362456e+01,1.568018392802425787e+01,-9.694755389125157308e+01,-9.348660390448446833e+01
1.870682140365800480e-02,2.181047883009868826e+01,1.583958118415934635e+01,-9.707542118817994492e+01,-9.355126033573469613e+01
1.905460717963247327e-02,2.196800671427405405e+01,1.599895590868037054e+01,-9.720559292247527594e+01,-9.361710950989028390e+01
1.940885877592778141e-02,2.212544331038882461e+01,1.615830726274429452e+01,-9.733810788846368212e+01,-9.368417307556605067e+01
1.976969640111861035e-02,2.228278530432582727e+01,1.631763437653927795e+01,-9.747300537997483616e+01,-9.375247305423309285e+01
2.013724249862388488e-02,2.244002926592459701e+01,1.647693634816117836e+01,-9.761032518780619682e+01,-9.382203184549385355e+01
2.051162178825565591e-02,2.259717164523869926e+01,1.663621224245089891e+01,-9.775010759654036008e+01,-9.389287223236350144e+01
2.089296130854039965e-02,2.275420876869659281e+01,1.679546108979114649e+01,-9.789239338067601182e+01,-9.396501738655275915e+01
2.128139045982712155e-02,2.291113683516544342e+01,1.695468188486148975e+01,-9.803722380003087267e+01,-9.403849087374723581e+01
2.167704104819695443e-02,2.306795191191760708e+01,1.711387358535025882e+01,-9.818464059437386027e+01,-9.411331665887763620e+01
2.208004733018900309e-02,2.322464993049944226e+01,1.727303511062203611e+01,-9.833468597724133531e+01,-9.418951911137445165e+01
2.249054605835780485e-02,2.338122668250257874e+01,1.743216534033930998e+01,-9.848740262889117503e+01,-9.426712301040144837e+01
2.290867652767772725e-02,2.353767781523793090e+01,1.759126311303691637e+01,-9.864283368834563248e+01,-9.434615355006069137e+01
2.333458062281001943e-02,2.369399882731276108e+01,1.775032722464777279e+01,-9.880102274447278887e+01,-9.442663634456184241e+01
2.376840286624876120e-02,2.385018506411191908e+01,1.790935642697852614e+01,-9.896201382605428876e+01,-9.450859743334831364e+01
2.421029046736177665e-02,2.400623171318401106e+01,1.806834942613351558e+01,-9.912585139078488794e+01,-9.459206328617166548e+01
2.466039337234338796e-02,2.416213379953424578e+01,1.822730488088562595e+01,-9.929258031314796540e+01,-9.467706080810570768e+01
2.511886431509579784e-02,2.431788618082546094e+01,1.838622140099240809e+01,-9.946224587110826576e+01,-9.476361734449095309e+01
2.558585886905645132e-02,2.447348354248976676e+01,1.854509754545588862e+01,-9.963489373156254203e+01,-9.485176068579926323e+01
2.606153549998894980e-02,2.462892039275320855e+01,1.870393182072454863e+01,-9.981056993448568448e+01,-9.494151907240865285e+01
2.654605561975538486e-02,2.478419105757659935e+01,1.886272267883572695e+01,-9.998932087570838689e+01,-9.503292119927650106e+01
2.703958364108843479e-02,2.493928967551601872e+01,1.902146851549690609e+01,-1.001711932882611222e+02,-9.512599622049970094e+01
2.754228703338166065e-02,2.509421019250700624e+01,1.918016766810411866e+01,-1.003562342222166706e+02,-9.522077375374907149e+01
2.805433637951713216e-02,2.524894635657709685e+01,1.933881841369589694e+01,-1.005444910229618927e+02,-9.531728388456487266e+01
2.857590543374946557e-02,2.540349171249181381e+01,1.949741896684096076e+01,-1.007360113078282069e+02,-9.541555717049878638e+01
2.910717118066605269e-02,2.555783959634002045e+01,1.965596747745800243e+01,-1.009308429410082937e+02,-9.551562464508833727e+01
2.964831389524342359e-02,2.571198313006501479e+01,1.981446202856581351e+01,-1.011290340066849467e+02,-9.561751782164725455e+01
3.019951720402016052e-02,2.586591521594870713e+01,1.997290063396206250e+01,-1.013306327802973641e+02,-9.572126869685548911e+01
3.076096814740707924e-02,2.601962853105666440e+01,2.013128123582893636e+01,-1.015356876978684255e+02,-9.582690975413133572e+01
3.133285724315585524e-02,2.617311552165288902e+01,2.028960170226399384e+01,-1.017442473233156619e+02,-9.593447396676685912e+01
3.191537855100761573e-02,2.632636839759390313e+01,2.044785982473442942e+01,-1.019563603136681564e+02,-9.604399480080735430e+01
3.250872973854343484e-02,2.647937912671253713e+01,2.060605331545314201e+01,-1.021720753821106484e+02,-9.615550621765412131e+01
3.311311214825911342e-02,2.663213942920297939e+01,2.076417980467479296e+01,-1.023914412587761973e+02,-9.626904267636876966e+01
3.372873086588688840e-02,2.678464077201924454e+01,2.092223683791034006e+01,-1.026145066492087921e+02,-9.638463913565621510e+01
3.435579478998746633e-02,2.693687436330073481e+01,2.108022187305824602e+01,-1.028413201904170364e+02,-9.650233105550259438e+01
3.499451670283573040e-02,2.708883114683915849e+01,2.123813227745090870e+01,-1.030719304044417584e+02,-9.662215439844234766e+01
3.564511334262442793e-02,2.724050179660246584e+01,2.139596532481468216e+01,-1.033063856493603225e+02,-9.674414563042829229e+01
3.630780547701013827e-02,2.739187671133263535e+01,2.155371819214198581e+01,-1.035447340676530956e+02,-9.686834172127673526e+01
3.698281797802662613e-02,2.754294600923505243e+01,2.171138795647411257e+01,-1.037870235318583667e+02,-9.699478014465798026e+01
3.767037989839089329e-02,2.769369952277893177e+01,2.186897159159334691e+01,-1.040333015874453793e+02,-9.712349887760225897e+01
3.837072454922788034e-02,2.784412679362896625e+01,2.202646596462311379e+01,-1.042836153928377740e+02,-9.725453639948823081e+01
3.908408957924021376e-02,2.799421706773025420e+01,2.218386783253494698e+01,-1.045380116565231248e+02,-9.738793169048067000e+01
3.981071705534973415e-02,2.814395929056936296e+01,2.234117383856126082e+01,-1.047965365711893213e+02,-9.752372422938219643e+01
4.055085354483839444e-02,2.829334210263624172e+01,2.249838050851294469e+01,-1.050592357448325629e+02,-9.766195399086193163e+01
4.130475019901614503e-02,2.844235383511268367e+01,2.265548424700090990e+01,-1.053261541287879197e+02,-9.780266144202273892e+01
4.207266283844442178e-02,2.859098250581481437e+01,2.281248133356100638e+01,-1.055973359426399298e+02,-9.794588753826695893e+01
4.285485203974396390e-02,2.873921581541808479e+01,2.296936791868171923e+01,-1.058728245959776189e+02,-9.809167371841820682e+01
4.365158322401661156e-02,2.888704114399513045e+01,2.312614001973440736e+01,-1.061526626069668708e+02,-9.824006189905615827e+01
4.446312674691089289e-02,2.903444554789784604e+01,2.328279351680592413e+01,-1.064368915177217190e+02,-9.839109446801830927e+01
4.528975799036209088e-02,2.918141575701668344e+01,2.343932414843366985e+01,-1.067255518064666404e+02,-9.854481427702145879e+01
4.613175745603794592e-02,2.932793817245152113e+01,2.359572750724358059e+01,-1.070186827964926692e+02,-9.870126463335382994e+01
4.698941086052155908e-02,2.947399886462960339e+01,2.375199903549152225e+01,-1.073163225619220498e+02,-9.886048929058637214e+01
4.786300923226385201e-02,2.961958357190755464e+01,2.390813402050904557e+01,-1.076185078303095111e+02,-9.902253243825042262e+01
4.875284901033865442e-02,2.976467769969556798e+01,2.406412759005476332e+01,-1.079252738821228945e+02,-9.918743869042670269e+01
4.965923214503362854e-02,2.990926632014295450e+01,2.421997470757283821e+01,-1.082366544471600776e+02,-9.935525307318867760e+01
5.058246620031139895e-02,3.005333417242541216e+01,2.437567016736059600e+01,-1.085526815979768713e+02,-9.952602101084131903e+01
5.152286445817564481e-02,3.019686566367512626e+01,2.453120858964752671e+01,-1.088733856404177516e+02,-9.969978831089487414e+01
5.248074602497725810e-02,3.033984487059578328e+01,2.468658441558844530e+01,-1.091987950013597128e+02,-9.987660114771047404e+01
5.345643593969716389e-02,3.048225554180504560e+01,2.484179190217404454e+01,-1.095289361138001993e+02,-1.000565060447535188e+02
5.445026528424212059e-02,3.062408110094763103e+01,2.499682511706260968e+01,-1.098638332994410689e+02,-1.002395498553881907e+02
5.546257129579107437e-02,3.076530465062230846e+01,2.515167793333699464e+01,-1.102035086489419911e+02,-1.004257797421449965e+02
5.649369748123025253e-02,3.090590897716630892e+01,2.530634402419185847e+01,-1.105479819000414210e+02,-1.006152431543917771e+02
5.754399373371569398e-02,3.104587655634031407e+01,2.546081685755638446e+01,-1.108972703137658442e+02,-1.008079878043364488e+02
5.861381645140287255e-02,3.118518955995688202e+01,2.561508969065874197e+01,-1.112513885489748162e+02,-1.010040616412886862e+02
5.970352865838369355e-02,3.132382986349440301e+01,2.576915556453885259e+01,-1.116103485355143903e+02,-1.012035128241063120e+02
6.081350012787179599e-02,3.146177905473757974e+01,2.592300729851706009e+01,-1.119741593462783698e+02,-1.014063896917506895e+02
6.194410750767814777e-02,3.159901844348425115e+01,2.607663748462691800e+01,-1.123428270685049739e+02,-1.016127407318746236e+02
6.309573444801933051e-02,3.173552907235646003e+01,2.623003848202109367e+01,-1.127163546746632932e+02,-1.018226145473650490e+02
6.426877173170197910e-02,3.187129172875172145e+01,2.638320241136034028e+01,-1.130947418933128148e+02,-1.020360598207625458e+02
6.546361740672750062e-02,3.200628695796798695e+01,2.653612114919640774e+01,-1.134779850803476080e+02,-1.022531252764789400e+02
6.668067692136221691e-02,3.214049507753282597e+01,2.668878632236054571e+01,-1.138660770910639428e+02,-1.024738596407341475e+02
6.792036326171846383e-02,3.227389619276416255e+01,2.684118930237043799e+01,-1.142590071535191640e+02,-1.026983115991336462e+02
6.918309709189363055e-02,3.240647021358600455e+01,2.699332119986932810e+01,-1.146567607436760312e+02,-1.029265297518083742e+02
7.046930689671467019e-02,3.253819687261864146e+01,2.714517285911228583e+01,-1.150593194628534519e+02,-1.031585625660396062e+02
7.177942912713615453e-02,3.266905574455780226e+01,2.729673485251547760e+01,-1.154666609180292198e+02,-1.033944583262928489e+02
7.311390834834172181e-02,3.279902626685255740e+01,2.744799747528583822e+01,-1.158787586055650394e+02,-1.036342650815859656e+02
7.447319739059889143e-02,3.292808776168576657e+01,2.759895074014935545e+01,-1.162955817989451646e+02,-1.038780305901196499e+02
7.585775750291835762e-02,3.305621945925517480e+01,2.774958437219775220e+01,-1.167170954411402448e+02,-1.041258022611003042e+02
7.726805850957021993e-02,3.318340052234655246e+01,2.789988780387443157e+01,-1.171432600422252079e+02,-1.043776270936890427e+02
7.870457896950984467e-02,3.330961007218354553e+01,2.804985017012201354e+01,-1.175740315828945626e+02,-1.046335516130142764e+02
8.016780633876789686e-02,3.343482721553147741e+01,2.819946030371504264e+01,-1.180093614245302405e+02,-1.048936218031900296e+02
8.165823713585922128e-02,3.355903107302474808e+01,2.834870673080291681e+01,-1.184491962264839344e+02,-1.051578830372869078e+02
8.317637711026708291e-02,3.368220080867943977e+01,2.849757766668938430e+01,-1.188934778712406626e+02,-1.054263800042090651e+02
8.472274141405965187e-02,3.380431566054436132e+01,2.864606101187648335e+01,-1.193421433981299344e+02,-1.056991566324371519e+02
8.629785477669701943e-02,3.392535497243536469e+01,2.879414434840210646e+01,-1.197951249462455365e+02,-1.059762560106045868e+02
8.790225168308841985e-02,3.404529822668892791e+01,2.894181493650189907e+01,-1.202523497072254486e+02,-1.062577203048832644e+02
8.953647655495937385e-02,3.416412507786201758e+01,2.908905971162742077e+01,-1.207137398885284796e+02,-1.065435906731639477e+02
9.120108393559096804e-02,3.428181538729666755e+01,2.923586528185424527e+01,-1.211792126878244034e+02,-1.068339071760274948e+02
9.289663867799362318e-02,3.439834925845840985e+01,2.938221792571448887e+01,-1.216486802790873440e+02,-1.071287086845136685e+02
9.462371613657930003e-02,3.451370707294920948e+01,2.952810359049014366e+01,-1.221220498109528165e+02,-1.074280327847077388e+02
9.638290236239706321e-02,3.462786952708685817e+01,2.967350789100443365e+01,-1.225992234178583402e+02,-1.077319156791774333e+02
9.817479430199843593e-02,3.474081766893437617e+01,2.981841610894974792e+01,-1.230800982444478251e+02,-1.080403920853086817e+02
1.000000000000000056e-01,3.485253293565524757e+01,2.996281319279184885e+01,-1.235645664836681590e+02,-1.083534951306034770e+02
1.018591388054116975e-01,3.496299719106266224e+01,3.010668375829091659e+01,-1.240525154289333898e+02,-1.086712562450206576e+02
1.037528415818012584e-01,3.507219276322409485e+01,3.025001208968102517e+01,-1.245438275406709181e+02,-1.089937050504580327e+02
1.056817509213658496e-01,3.518010248197661127e+01,3.039278214155016400e+01,-1.250383805274985178e+02,-1.093208692474941728e+02
1.076465213629834994e-01,3.528670971620225316e+01,3.053497754146381737e+01,-1.255360474422114976e+02,-1.096527744995278368e+02
1.096478196143185202e-01,3.539199841070897889e+01,3.067658159337508650e+01,-1.260366967926825339e+02,-1.099894443144754348e+02
1.116863247780561230e-01,3.549595312255843282e+01,3.081757728186497403e+01,-1.265401926676997135e+02,-1.103308999242085093e+02
1.137627285823430978e-01,3.559855905667958353e+01,3.095794727725608197e+01,-1.270463948776837100e+02,-1.106771601619379766e+02
1.158777356155126226e-01,3.569980210060540315e+01,3.109767394164290621e+01,-1.275551591101412612e+02,-1.110282413377754693e+02
1.180320635651729844e-01,3.579966885816983080e+01,3.123673933588125706e+01,-1.280663370996230697e+02,-1.113841571127287011e+02
1.202264434617413141e-01,3.589814668200275349e+01,3.137512522757859657e+01,-1.285797768118661111e+02,-1.117449183714129930e+02
1.224616199265049082e-01,3.599522370466301879e+01,3.151281310012586090e+01,-1.290953226417104247e+02,-1.121105330937893143e+02
1.247383514242943192e-01,3.609088886825298914e+01,3.164978416280987616e+01,-1.296128156242905050e+02,-1.124810062262657055e+02
1.270574105208542026e-01,3.618513195236253210e+01,3.178601936204366396e+01,-1.301320936589143571e+02,-1.128563395525279986e+02
1.294195841449986284e-01,3.627794360019673547e+01,3.192149939374970913e+01,-1.306529917449549600e+02,-1.132365315644924522e+02
1.318256738556407293e-01,3.636931534274851430e+01,3.205620471692854068e+01,-1.311753422289982041e+02,-1.136215773338031454e+02
1.342764961137864199e-01,3.645923962088587444e+01,3.219011556844220223e+01,-1.316989750624092039e+02,-1.140114683843231944e+02
1.367728825595849462e-01,3.654770980523345258e+01,3.232321197903828391e+01,-1.322237180684059012e+02,-1.144061925660975021e+02
1.393156802945303419e-01,3.663472021373834053e+01,3.245547379063688709e+01,-1.327493972176591228e+02,-1.148057339312912717e+02
1.419057521689092716e-01,3.672026612682230962e+01,3.258688067489778462e+01,-1.332758369113746824e+02,-1.152100726126347467e+02
1.445439770745927111e-01,3.680434380003512729e+01,3.271741215308099981e+01,-1.338028602707591688e+02,-1.156191847049289407e+02
1.472312502432718551e-01,3.688695047413729355e+01,3.284704761720809785e+01,-1.343302894317203879e+02,-1.160330421501907807e+02
1.499684835502373137e-01,3.696808438255458640e+01,3.297576635252605115e+01,-1.348579458436161360e+02,-1.164516126270365817e+02
1.527566058238072344e-01,3.704774475616180496e+01,3.310354756126937303e+01,-1.353856505708334055e+02,-1.168748594449224356e+02
1.555965631605074340e-01,3.712593182536817693e+01,3.323037038770942786e+01,-1.359132245959575016e+02,-1.173027414438760303e+02
1.584893192461113431e-01,3.720264681949247887e+01,3.335621394447284160e+01,-1.364404891232792920e+02,-1.177352129003677277e+02
1.614358556826486213e-01,3.727789196343137945e+01,3.348105734010356827e+01,-1.369672658813867940e+02,-1.181722234399794047e+02
