wout,mag_flicker_0,mag_flicker_1,mag_flicker_2,phase_flicker_0,phase_flicker_1,phase_flicker_2
1.000000000000000021e-02,1.086848259029719443e+01,5.864074022748208215e+00,5.381811880372269208e-01,-2.885175930292101043e+02,-3.024848404492949498e+02,-3.418516915803605798e+02
1.018591388054116906e-02,1.101543687321748166e+01,5.983034612141494790e+00,5.571139908349344028e-01,-2.882658874158746585e+02,-3.020599029709367187e+02,-3.415447022017614245e+02
1.037528415818012723e-02,1.116281365477492216e+01,6.103099241850467926e+00,5.766688187982831337e-01,-2.880192529649947346e+02,-3.016398077879573520e+02,-3.412335599611415091e+02
1.056817509213658565e-02,1.131059953525744532e+01,6.224247263575449551e+00,5.968631113426665635e-01,-2.877776608789432089e+02,-3.012246433894409847e+02,-3.409182610882012909e+02
1.076465213629834890e-02,1.145878143104868307e+01,6.346457856879748505e+00,6.177145984128500356e-01,-2.875410815491354128e+02,-3.008144935092715855e+02,-3.405988047036906323e+02
1.096478196143185063e-02,1.160734657139389903e+01,6.469710062284902641e+00,6.392412919652523673e-01,-2.873094846464849752e+02,-3.004094371696552344e+02,-3.402751929507032287e+02
1.116863247780561230e-02,1.175628249478831755e+01,6.593982813385540709e+00,6.614614763889734572e-01,-2.870828392087063889e+02,-3.000095487350189956e+02,-3.399474311269426607e+02
1.137627285823430978e-02,1.190557704501975067e+01,6.719254967912997145e+00,6.843936978262834536e-01,-2.868611137244795373e+02,-2.996148979756452491e+02,-3.396155278176191246e+02
1.158777356155126122e-02,1.205521836689612059e+01,6.845505337685673375e+00,7.080567523551893894e-01,-2.866442762144946528e+02,-2.992255501403870426e+02,-3.392794950286062772e+02
1.180320635651730017e-02,1.220519490168691590e+01,6.972712717392774984e+00,7.324696729989628174e-01,-2.864322943094113612e+02,-2.988415660378013285e+02,-3.389393483194601799e+02
1.202264434617413176e-02,1.235549538230627320e+01,7.100855912166583295e+00,7.576517155301289996e-01,-2.862251353247671091e+02,-2.984630021250337109e+02,-3.385951069358733321e+02
1.224616199265048978e-02,1.250610882826395809e+01,7.229913763906592905e+00,7.836223430396496159e-01,-2.860227663328822700e+02,-2.980899106037884394e+02,-3.382467939411088196e+02
1.247383514242943192e-02,1.265702454040898317e+01,7.359865176326701786e+00,8.104012092453650729e-01,-2.858251542318124621e+02,-2.977223395227226774e+02,-3.378944363459337410e+02
1.270574105208541887e-02,1.280823209548937847e+01,7.490689138704400563e+00,8.380081405179375942e-01,-2.856322658114042383e+02,-2.973603328856141275e+02,-3.375380652365408309e+02
1.294195841449986319e-02,1.295972134055002556e+01,7.622364748317719929e+00,8.664631166067309209e-01,-2.854440678165157124e+02,-2.970039307646599696e+02,-3.371777158999245216e+02
1.318256738556407466e-02,1.311148238718935488e+01,7.754871231562896483e+00,8.957862500532187688e-01,-2.852605270074676014e+02,-2.966531694182851879e+02,-3.368134279461520464e+02
1.342764961137864199e-02,1.326350560569417070e+01,7.888187963751633447e+00,9.259977642845882428e-01,-2.850816102177924449e+02,-2.963080814128510383e+02,-3.364452454269468831e+02
1.367728825595849670e-02,1.341578161907077771e+01,8.022294487593068624e+00,9.571179703862143784e-01,-2.849072844093537924e+02,-2.959686957476793054e+02,-3.360732169499810880e+02
1.393156802945303557e-02,1.356830129698913190e+01,8.157170530370672523e+00,9.891672425578394989e-01,-2.847375167249080050e+02,-2.956350379828277823e+02,-3.356973957882553918e+02
1.419057521689091883e-02,1.372105574965574171e+01,8.292796019829561160e+00,1.022165992264957968e+00,-2.845722745381850700e+02,-2.953071303690770719e+02,-3.353178399839282520e+02
1.445439770745927249e-02,1.387403632162973288e+01,8.429151098793946417e+00,1.056134641104061744e+00,-2.844115255015630623e+02,-2.949849919796142217e+02,-3.349346124459440830e+02
1.472312502432718793e-02,1.402723458559537661e+01,8.566216138538674585e+00,1.091093592407887947e+00,-2.842552375914150389e+02,-2.946686388429268959e+02,-3.345477810407998049e+02
1.499684835502373276e-02,1.418064233610349234e+01,8.703971750942343988e+00,1.127063201624602051e+00,-2.841033791512047628e+02,-2.943580840764448681e+02,-3.341574186757832194e+02
1.527566058238072171e-02,1.433425158329278482e+01,8.842398799452611868e+00,1.164063745513030934e+00,-2.839559189324095883e+02,-2.940533380204987566e+02,-3.337636033740158723e+02
1.555965631605074270e-02,1.448805454660151426e+01,8.981478408897107357e+00,1.202115390204496537e+00,-2.838128261333473574e+02,-2.937544083721893458e+02,-3.333664183406348229e+02
1.584893192461113431e-02,1.464204364847870643e+01,9.121191974175637540e+00,1.241238158190448804e+00,-2.836740704359856409e+02,-2.934613003187925528e+02,-3.329659520194555284e+02
1.614358556826486074e-02,1.479621150810342556e+01,9.261521167871393345e+00,1.281451894303808015e+00,-2.835396220408073304e+02,-2.931740166703498289e+02,-3.325622981394694762e+02
1.644371723214931372e-02,1.495055093511957622e+01,9.402447946820357672e+00,1.322776230770943195e+00,-2.834094516998099493e+02,-2.928925579911237378e+02,-3.321555557505503771e+02
1.674942876026437252e-02,1.510505492339308020e+01,9.543954557679398931e+00,1.365230551419907012e+00,-2.832835307477109268e+02,-2.926169227296252302e+02,-3.317458292477614350e+02
1.706082389003123548e-02,1.525971664479734535e+01,9.686023541534449777e+00,1.408833955139584315e+00,-2.831618311314326775e+02,-2.923471073469437442e+02,-3.313332283836903116e+02
1.737800828749375484e-02,1.541452944303243378e+01,9.828637737590760537e+00,1.453605218692909595e+00,-2.830443254379380846e+02,-2.920831064431391155e+02,-3.309178682682679096e+02
1.770108958317421002e-02,1.556948682748231327e+01,9.971780285987591697e+00,1.499562758995791167e+00,-2.829309869204855090e+02,-2.918249128814782125e+02,-3.304998693555714340e+02
1.803017740859568993e-02,1.572458246711437191e+01,1.011543462977969554e+01,1.546724594981487622e+00,-2.828217895233709669e+02,-2.915725179103222331e+02,-3.300793574171547675e+02
1.836538343348346342e-02,1.587981018442438064e+01,1.025958451612792466e+01,1.595108309177825090e+00,-2.827167079052240979e+02,-2.913259112824945873e+02,-3.296564635015047315e+02
1.870682140365800480e-02,1.603516394942973022e+01,1.040421399674081471e+01,1.644731009131695787e+00,-2.826157174609202798e+02,-2.910850813719806069e+02,-3.292313238792762604e+02
1.905460717963247327e-02,1.619063787371321084e+01,1.054930742760856965e+01,1.695609288821943172e+00,-2.825187943421713044e+02,-2.908500152878302742e+02,-3.288040799740235798e+02
1.940885877592778141e-02,1.634622620451900943e+01,1.069484946807003389e+01,1.747759190207320623e+00,-2.824259154768537883e+02,-2.906206989851555136e+02,-3.283748782782136573e+02
1.976969640111861035e-02,1.650192331890230690e+01,1.084082507925247363e+01,1.801196165061288212e+00,-2.823370585871335265e+02,-2.903971173731304134e+02,-3.279438702543787372e+02
2.013724249862388488e-02,1.665772371793316964e+01,1.098721952192301110e+01,1.855935037249465624e+00,-2.822522022064392786e+02,-2.901792544199224153e+02,-3.275112122213427028e+02
2.051162178825565591e-02,1.681362202095531444e+01,1.113401835378934024e+01,1.911989965608494879e+00,-2.821713256953406130e+02,-2.899670932544946140e+02,-3.270770652255383766e+02
2.089296130854039965e-02,1.696961295989969187e+01,1.128120742628635043e+01,1.969374407587237474e+00,-2.820944092563794925e+02,-2.897606162652380704e+02,-3.266415948975138122e+02
2.128139045982712155e-02,1.712569137365261085e+01,1.142877288088384802e+01,2.028101083811904459e+00,-2.820214339479037449e+02,-2.895598051954030439e+02,-3.262049712938139692e+02
2.167704104819695443e-02,1.728185220247783960e+01,1.157670114494937152e+01,2.088181943736556967e+00,-2.819523816969496011e+02,-2.893646412353126038e+02,-3.257673687245128349e+02
2.208004733018900309e-02,1.743809048249165627e+01,1.172497892719864865e+01,2.149628132538649705e+00,-2.818872353112154769e+02,-2.891751051113544122e+02,-3.253289655667574607e+02
2.249054605835780485e-02,1.759440134018970525e+01,1.187359321276485247e+01,2.212449959416627365e+00,-2.818259784901703142e+02,-2.889911771717525539e+02,-3.248899440647784331e+02
2.290867652767772725e-02,1.775077998702419535e+01,1.202253125791643562e+01,2.276656867442315768e+00,-2.817685958353339970e+02,-2.888128374691360705e+02,-3.244504901169063373e+02
2.333458062281001943e-02,1.790722171402963170e+01,1.217178058445176170e+01,2.342257405115517610e+00,-2.817150728597679858e+02,-2.886400658399252279e+02,-3.240107930502221052e+02
2.376840286624876120e-02,1.806372188649532617e+01,1.232132897379744740e+01,2.409259199761443426e+00,-2.816653959968097070e+02,-2.884728419805650788e+02,-3.235710453835548606e+02
2.421029046736177665e-02,1.822027593868239848e+01,1.247116446083579966e+01,2.477668932903736909e+00,-2.816195526080849163e+02,-2.883111455206438904e+02,-3.231314425796179535e+02
2.466039337234338796e-02,1.837687936858307225e+01,1.262127532748525027e+01,2.547492317736632206e+00,-2.815775309908253803e+02,-2.881549560929369704e+02,-3.226921827871552750e+02
2.511886431509579784e-02,1.853352773271968701e+01,1.277165009605646517e+01,2.618734078809489496e+00,-2.815393203845232506e+02,-2.880042534004239769e+02,-3.222534665740362811e+02
2.558585886905645132e-02,1.869021664098096736e+01,1.292227752240514960e+01,2.691397934025695271e+00,-2.815049109769448137e+02,-2.878590172803303062e+02,-3.218154966523080134e+02
2.606153549998894980e-02,1.884694175149255457e+01,1.307314658890148706e+01,2.765486579045366433e+00,-2.814742939095289103e+02,-2.877192277652467851e+02,-3.213784775962668050e+02
2.654605561975538486e-02,1.900369876551914317e+01,1.322424649723457790e+01,2.841001674168308622e+00,-2.814474612821911137e+02,-2.875848651413862171e+02,-3.209426155546667587e+02
2.703958364108843479e-02,1.916048342239511371e+01,1.337556666106916659e+01,2.917943833759626404e+00,-2.814244061575522551e+02,-2.874559100040348198e+02,-3.205081179582223285e+02
2.754228703338166065e-02,1.931729149448056404e+01,1.352709669857050834e+01,2.996312618265729810e+00,-2.814051225646092576e+02,-2.873323433102609101e+02,-3.200751932235983190e+02
2.805433637951713216e-02,1.947411878213965508e+01,1.367882642481217559e+01,3.076106528853594480e+00,-2.813896055018626043e+02,-2.872141464289429109e+02,-3.196440504551047184e+02
2.857590543374946557e-02,1.963096110873796363e+01,1.383074584408035079e+01,3.157323004690595347e+00,-2.813778509399131167e+02,-2.871013011881786952e+02,-3.192148991453297526e+02
2.910717118066605269e-02,1.978781431565555238e+01,1.398284514208707208e+01,3.239958422866711985e+00,-2.813698558235395240e+02,-2.869937899201411255e+02,-3.187879488759517130e+02
2.964831389524342359e-02,1.994467425731244958e+01,1.413511467810383238e+01,3.324008100945278876e+00,-2.813656180732646703e+02,-2.868915955034405556e+02,-3.183634090199643083e+02
3.019951720402016052e-02,2.010153679620309930e+01,1.428754497702590598e+01,3.409466302112988068e+00,-2.813651365864171225e+02,-2.867947014030578430e+02,-3.179414884465399496e+02
3.076096814740707924e-02,2.025839779793642137e+01,1.444012672137683850e+01,3.496326242884574942e+00,-2.813684112376929534e+02,-2.867030917079086976e+02,-3.175223952297304777e+02
3.133285724315585524e-02,2.041525312627802435e+01,1.459285074326156284e+01,3.584580103302954512e+00,-2.813754428792190652e+02,-2.866167511660985951e+02,-3.171063363621743747e+02
3.191537855100761573e-02,2.057209863819110396e+01,1.474570801627578831e+01,3.674219039561141376e+00,-2.813862333401198725e+02,-2.865356652179274874e+02,-3.166935174749374369e+02
3.250872973854343484e-02,2.072893017887269451e+01,1.489868964737850909e+01,3.765233198959034855e+00,-2.814007854255838197e+02,-2.864598200267001289e+02,-3.162841425645664799e+02
3.311311214825911342e-02,2.088574357678177762e+01,1.505178686873361826e+01,3.857611737095196336e+00,-2.814191029154273451e+02,-2.863892025073957370e+02,-3.158784137283765858e+02
3.372873086588688840e-02,2.104253463865579477e+01,1.520499102952599380e+01,3.951342837182136858e+00,-2.814411905621490746e+02,-2.863238003532500784e+02,-3.154765309089312950e+02
3.435579478998746633e-02,2.119929914451243746e+01,1.535829358775675857e+01,4.046413731362886956e+00,-2.814670540884668526e+02,-2.862636020602985809e+02,-3.150786916486005680e+02
3.499451670283573040e-02,2.135603284263308410e+01,1.551168610202162945e+01,4.142810723896909408e+00,-2.814967001843278354e+02,-2.862085969499268003e+02,-3.146850908550100030e+02
3.564511334262442793e-02,2.151273144452494179e+01,1.566516022327597746e+01,4.240519216075140818e+00,-2.815301365033780030e+02,-2.861587751894735447e+02,-3.142959205781096443e+02
3.630780547701013827e-02,2.166939061985842585e+01,1.581870768658942694e+01,4.339523732716629389e+00,-2.815673716588784714e+02,-2.861141278109255381e+02,-3.139113697995099415e+02
3.698281797802662613e-02,2.182600599137690978e+01,1.597232030289250027e+01,4.439807950093441313e+00,-2.816084152190503573e+02,-2.860746467277430156e+02,-3.135316242346401623e+02
3.767037989839089329e-02,2.198257312977566613e+01,1.612598995071732944e+01,4.541354725125803071e+00,-2.816532777018307456e+02,-2.860403247498495602e+02,-3.131568661482007201e+02
3.837072454922788034e-02,2.213908754854713834e+01,1.627970856793407961e+01,4.644146125686201998e+00,-2.817019705690189539e+02,-2.860111555968182984e+02,-3.127872741832836709e+02
3.908408957924021376e-02,2.229554469878981138e+01,1.643346814348436524e+01,4.748163461849141953e+00,-2.817545062197886523e+02,-2.859871339092808853e+02,-3.124230232044495779e+02
3.981071705534973415e-02,2.245193996397789249e+01,1.658726070911263051e+01,4.853387317922496003e+00,-2.818108979835429295e+02,-2.859682552585857138e+02,-3.120642841549549757e+02
4.055085354483839444e-02,2.260826865468940738e+01,1.674107833109630050e+01,4.959797585096838546e+00,-2.818711601120825208e+02,-2.859545161547233647e+02,-3.117112239282370751e+02
4.130475019901614503e-02,2.276452600329031384e+01,1.689491310197512064e+01,5.067373494550909463e+00,-2.819353077710601383e+02,-2.859459140525385124e+02,-3.113640052536751455e+02
4.207266283844442178e-02,2.292070715857241936e+01,1.704875713228009815e+01,5.176093650853944794e+00,-2.820033570306862885e+02,-2.859424473562415301e+02,-3.110227865965628666e+02
4.285485203974396390e-02,2.307680718034320222e+01,1.720260254226224816e+01,5.285936065509640791e+00,-2.820753248556550261e+02,-2.859441154222282648e+02,-3.106877220721454478e+02
4.365158322401661156e-02,2.323282103396573817e+01,1.735644145362122259e+01,5.396878190491111837e+00,-2.821512290942516756e+02,-2.859509185602161097e+02,-3.103589613734999944e+02
4.446312674691089289e-02,2.338874358484711991e+01,1.751026598123397093e+01,5.508896951621928828e+00,-2.822310884666045467e+02,-2.859628580326976817e+02,-3.100366497129622871e+02
4.528975799036209088e-02,2.354456959287425377e+01,1.766406822488341533e+01,5.621968781664802961e+00,-2.823149225520396612e+02,-2.859799360527106273e+02,-3.097209277767394155e+02
4.613175745603794592e-02,2.370029370679589675e+01,1.781784026098731388e+01,5.736069652986506284e+00,-2.824027517754952896e+02,-2.860021557799201446e+02,-3.094119316922821668e+02
4.698941086052155908e-02,2.385591045855029790e+01,1.797157413432742956e+01,5.851175109675439856e+00,-2.824945973929507090e+02,-2.860295213150038762e+02,-3.091097930079374123e+02
4.786300923226385201e-02,2.401141425753795033e+01,1.812526184977934207e+01,5.967260298996435175e+00,-2.825904814758214911e+02,-2.860620376923283175e+02,-3.088146386843482674e+02
4.875284901033865442e-02,2.416679938483958878e+01,1.827889536404331849e+01,6.084300002076009406e+00,-2.826904268942715248e+02,-2.860997108708997416e+02,-3.085265910970244931e+02
4.965923214503362854e-02,2.432205998737963171e+01,1.843246657737695671e+01,6.202268663720246877e+00,-2.827944572993887959e+02,-2.861425477235712265e+02,-3.082457680494678698e+02
5.058246620031139895e-02,2.447719007203579267e+01,1.858596732533036899e+01,6.321140421276605359e+00,-2.829025971041712637e+02,-2.861905560244819640e+02,-3.079722827962020233e+02
5.152286445817564481e-02,2.463218349969614707e+01,1.873938937048527009e+01,6.440889132460291933e+00,-2.830148714632652514e+02,-2.862437444347021369e+02,-3.077062440750306109e+02
5.248074602497725810e-02,2.478703397926506113e+01,1.889272439419930194e+01,6.561488402075099202e+00,-2.831313062513976888e+02,-2.863021224860548841e+02,-3.074477561478229291e+02
5.345643593969716389e-02,2.494173506162038123e+01,1.904596398835762017e+01,6.682911607568104095e+00,-2.832519280404412712e+02,-2.863657005630795425e+02,-3.071969188491121372e+02
5.445026528424212059e-02,2.509628013352421050e+01,1.919909964713394501e+01,6.805131923366571911e+00,-2.833767640750492660e+02,-2.864344898831025148e+02,-3.069538276417776501e+02
5.546257129579107437e-02,2.525066241149072255e+01,1.935212275876392241e+01,6.928122343954830953e+00,-2.835058422467942592e+02,-2.865085024743727899e+02,-3.067185736790780766e+02
5.649369748123025253e-02,2.540487493561463594e+01,1.950502459733400684e+01,7.051855705657477991e+00,-2.836391910667450702e+02,-2.865877511522226087e+02,-3.064912438722975025e+02
5.754399373371569398e-02,2.555891056336485434e+01,1.965779631458977406e+01,7.176304707103998481e+00,-2.837768396364107844e+02,-2.866722494932050154e+02,-3.062719209632721800e+02
5.861381645140287255e-02,2.571276196334838460e+01,1.981042893176800135e+01,7.301441928358306299e+00,-2.839188176169836311e+02,-2.867620118071608886e+02,-3.060606836010692291e+02
5.970352865838369355e-02,2.586642160905021370e+01,1.996291333145772029e+01,7.427239848704438430e+00,-2.840651551968066428e+02,-2.868570531071646883e+02,-3.058576064221002753e+02
6.081350012787179599e-02,2.601988177255591239e+01,2.011524024949595457e+01,7.553670863087511123e+00,-2.842158830569933912e+02,-2.869573890772949198e+02,-3.056627601329655022e+02
6.194410750767814777e-02,2.617313451826413484e+01,2.026740026690466578e+01,7.680707297216172513e+00,-2.843710323351246529e+02,-2.870630360381736068e+02,-3.054762115953396915e+02
6.309573444801933051e-02,2.632617169659729228e+01,2.041938380187637136e+01,7.808321421339603496e+00,-2.845306345869458369e+02,-2.871740109102178735e+02,-3.052980239122318267e+02
6.426877173170197910e-02,2.647898493771953810e+01,2.057118110181644610e+01,7.936485462718593453e+00,-2.846947217459889998e+02,-2.872903311745433825e+02,-3.051282565149702464e+02
6.546361740672750062e-02,2.663156564527191250e+01,2.072278223545134779e+01,8.065171616816229516e+00,-2.848633260810414640e+02,-2.874120148314598850e+02,-3.049669652502888084e+02
6.668067692136221691e-02,2.678390499013581305e+01,2.087417708501272173e+01,8.194352057239328246e+00,-2.850364801513836142e+02,-2.875390803564961857e+02,-3.048142024669140824e+02
6.792036326171846383e-02,2.693599390423668893e+01,2.102535533850843308e+01,8.323998944466902472e+00,-2.852142167597185107e+02,-2.876715466538922215e+02,-3.046700171010821236e+02
6.918309709189363055e-02,2.708782307440096560e+01,2.117630648209260613e+01,8.454084433406750421e+00,-2.853965689027151029e+02,-2.878094330074959544e+02,-3.045344547604379386e+02
7.046930689671467019e-02,2.723938293628057394e+01,2.132701979254792946e+01,8.584580679825746685e+00,-2.855835697190904057e+02,-2.879527590290004468e+02,-3.044075578058017868e+02
7.177942912713615453e-02,2.739066366836013700e+01,2.147748432989438072e+01,8.715459845703145803e+00,-2.857752524351521970e+02,-2.881015446034601837e+02,-3.042893654303152289e+02
