wout,mag_flicker_0,mag_flicker_1,phase_flicker_0,phase_flicker_1
1.000000000000000021e-02,1.659987102426077143e+01,1.086848259029719443e+01,-2.822832396031546409e+02,-2.885175930292101043e+02
1.018591388054116906e-02,1.675573360110215049e+01,1.101543687321748166e+01,-2.822008879191355959e+02,-2.882658874158746585e+02
1.037528415818012723e-02,1.691169075685703760e+01,1.116281365477492216e+01,-2.821225035579053042e+02,-2.880192529649947346e+02
1.056817509213658565e-02,1.706773729135836959e+01,1.131059953525744532e+01,-2.820480672585399589e+02,-2.877776608789432089e+02
1.076465213629834890e-02,1.722386810788110978e+01,1.145878143104868307e+01,-2.819775606241295236e+02,-2.875410815491354128e+02
1.096478196143185063e-02,1.738007820759775868e+01,1.160734657139389903e+01,-2.819109661340845605e+02,-2.873094846464849752e+02
1.116863247780561230e-02,1.753636268408613219e+01,1.175628249478831755e+01,-2.818482671555605634e+02,-2.870828392087063889e+02
1.137627285823430978e-02,1.769271671788804312e+01,1.190557704501975067e+01,-2.817894479540413499e+02,-2.868611137244795373e+02
1.158777356155126122e-02,1.784913557111726590e+01,1.205521836689612059e+01,-2.817344937031190284e+02,-2.866442762144946528e+02
1.180320635651730017e-02,1.800561458211488741e+01,1.220519490168691590e+01,-2.816833904935052715e+02,-2.864322943094113612e+02
1.202264434617413176e-02,1.816214916015006864e+01,1.235549538230627320e+01,-2.816361253413075474e+02,-2.862251353247671091e+02
1.224616199265048978e-02,1.831873478016389356e+01,1.250610882826395809e+01,-2.815926861956021412e+02,-2.860227663328822700e+02
1.247383514242943192e-02,1.847536697755397483e+01,1.265702454040898317e+01,-2.815530619453309669e+02,-2.858251542318124621e+02
1.270574105208541887e-02,1.863204134299716941e+01,1.280823209548937847e+01,-2.815172424255505916e+02,-2.856322658114042383e+02
1.294195841449986319e-02,1.878875351730773602e+01,1.295972134055002556e+01,-2.814852184230565513e+02,-2.854440678165157124e+02
1.318256738556407466e-02,1.894549918632808527e+01,1.311148238718935488e+01,-2.814569816814053524e+02,-2.852605270074676014e+02
1.342764961137864199e-02,1.910227407584918069e+01,1.326350560569417070e+01,-2.814325249053552511e+02,-2.850816102177924449e+02
1.367728825595849670e-02,1.925907394655751759e+01,1.341578161907077771e+01,-2.814118417647419506e+02,-2.849072844093537924e+02
1.393156802945303557e-02,1.941589458900553922e+01,1.356830129698913190e+01,-2.813949268978059308e+02,-2.847375167249080050e+02
1.419057521689091883e-02,1.957273181860232469e+01,1.372105574965574171e+01,-2.813817759139852797e+02,-2.845722745381850700e+02
1.445439770745927249e-02,1.972958147062124112e+01,1.387403632162973288e+01,-2.813723853961848249e+02,-2.844115255015630623e+02
1.472312502432718793e-02,1.988643939522115289e+01,1.402723458559537661e+01,-2.813667529025310614e+02,-2.842552375914150389e+02
1.499684835502373276e-02,2.004330145247798711e+01,1.418064233610349234e+01,-2.813648769676208872e+02,-2.841033791512047628e+02
1.527566058238072171e-02,2.020016350742309186e+01,1.433425158329278482e+01,-2.813667571032680712e+02,-2.839559189324095883e+02
1.555965631605074270e-02,2.035702142508502277e+01,1.448805454660151426e+01,-2.813723937987518298e+02,-2.838128261333473574e+02
1.584893192461113431e-02,2.051387106553141138e+01,1.464204364847870643e+01,-2.813817885205680227e+02,-2.836740704359856409e+02
1.614358556826486074e-02,2.067070827890723805e+01,1.479621150810342556e+01,-2.813949437116815488e+02,-2.835396220408073304e+02
1.644371723214931372e-02,2.082752890046643302e+01,1.495055093511957622e+01,-2.814118627902772687e+02,-2.834094516998099493e+02
1.674942876026437252e-02,2.098432874559307137e+01,1.510505492339308020e+01,-2.814325501480047365e+02,-2.832835307477109268e+02
1.706082389003123548e-02,2.114110360480900042e+01,1.525971664479734535e+01,-2.814570111477080445e+02,-2.831618311314326775e+02
1.737800828749375484e-02,2.129784923876450620e+01,1.541452944303243378e+01,-2.814852521206327651e+02,-2.830443254379380846e+02
1.770108958317421002e-02,2.145456137320869061e+01,1.556948682748231327e+01,-2.815172803630979388e+02,-2.829309869204855090e+02
1.803017740859568993e-02,2.161123569393645738e+01,1.572458246711437191e+01,-2.815531041326196942e+02,-2.828217895233709669e+02
1.836538343348346342e-02,2.176786784170885625e+01,1.587981018442438064e+01,-2.815927326434695601e+02,-2.827167079052240979e+02
1.870682140365800480e-02,2.192445340714379398e+01,1.603516394942973022e+01,-2.816361760616525771e+02,-2.826157174609202798e+02
1.905460717963247327e-02,2.208098792557417767e+01,1.619063787371321084e+01,-2.816834454992813903e+02,-2.825187943421713044e+02
1.940885877592778141e-02,2.223746687187055571e+01,1.634622620451900943e+01,-2.817345530083272251e+02,-2.824259154768537883e+02
1.976969640111861035e-02,2.239388565522571639e+01,1.650192331890230690e+01,-2.817895115737218248e+02,-2.823370585871335265e+02
2.013724249862388488e-02,2.255023961389846221e+01,1.665772371793316964e+01,-2.818483351057839741e+02,-2.822522022064392786e+02
2.051162178825565591e-02,2.270652400991433240e+01,1.681362202095531444e+01,-2.819110384319423588e+02,-2.821713256953406130e+02
2.089296130854039965e-02,2.286273402372090757e+01,1.696961295989969187e+01,-2.819776372877233257e+02,-2.820944092563794925e+02
2.128139045982712155e-02,2.301886474879571409e+01,1.712569137365261085e+01,-2.820481483069702335e+02,-2.820214339479037449e+02
2.167704104819695443e-02,2.317491118620484158e+01,1.728185220247783960e+01,-2.821225890112592651e+02,-2.819523816969496011e+02
2.208004733018900309e-02,2.333086823911065721e+01,1.743809048249165627e+01,-2.822009777984737298e+02,-2.818872353112154769e+02
2.249054605835780485e-02,2.348673070722731637e+01,1.759440134018970525e+01,-2.822833339304964397e+02,-2.818259784901703142e+02
2.290867652767772725e-02,2.364249328122278371e+01,1.775077998702419535e+01,-2.823696775199786657e+02,-2.817685958353339970e+02
2.333458062281001943e-02,2.379815053706677119e+01,1.790722171402963170e+01,-2.824600295161403665e+02,-2.817150728597679858e+02
2.376840286624876120e-02,2.395369693032388980e+01,1.806372188649532617e+01,-2.825544116895547972e+02,-2.816653959968097070e+02
2.421029046736177665e-02,2.410912679039195794e+01,1.822027593868239848e+01,-2.826528466158683841e+02,-2.816195526080849163e+02
2.466039337234338796e-02,2.426443431468562295e+01,1.837687936858307225e+01,-2.827553576584053872e+02,-2.815775309908253803e+02
2.511886431509579784e-02,2.441961356276585704e+01,1.853352773271968701e+01,-2.828619689496010778e+02,-2.815393203845232506e+02
2.558585886905645132e-02,2.457465845041634012e+01,1.869021664098096736e+01,-2.829727053712106226e+02,-2.815049109769448137e+02
2.606153549998894980e-02,2.472956274366820395e+01,1.884694175149255457e+01,-2.830875925332331917e+02,-2.814742939095289103e+02
2.654605561975538486e-02,2.488432005277500281e+01,1.900369876551914317e+01,-2.832066567514917210e+02,-2.814474612821911137e+02
2.703958364108843479e-02,2.503892382614037615e+01,1.916048342239511371e+01,-2.833299250238063678e+02,-2.814244061575522551e+02
2.754228703338166065e-02,2.519336734420140544e+01,1.931729149448056404e+01,-2.834574250046964607e+02,-2.814051225646092576e+02
2.805433637951713216e-02,2.534764371327124621e+01,1.947411878213965508e+01,-2.835891849785449494e+02,-2.813896055018626043e+02
2.857590543374946557e-02,2.550174585934508187e+01,1.963096110873796363e+01,-2.837252338311571407e+02,-2.813778509399131167e+02
2.910717118066605269e-02,2.565566652187447971e+01,1.978781431565555238e+01,-2.838656010196431225e+02,-2.813698558235395240e+02
2.964831389524342359e-02,2.580939824751546396e+01,1.994467425731244958e+01,-2.840103165405533332e+02,-2.813656180732646703e+02
3.019951720402016052e-02,2.596293338385670424e+01,2.010153679620309930e+01,-2.841594108961929237e+02,-2.813651365864171225e+02
3.076096814740707924e-02,2.611626407313485743e+01,2.025839779793642137e+01,-2.843129150590408472e+02,-2.813684112376929534e+02
3.133285724315585524e-02,2.626938224594492866e+01,2.041525312627802435e+01,-2.844708604341989258e+02,-2.813754428792190652e+02
3.191537855100761573e-02,2.642227961495436972e+01,2.057209863819110396e+01,-2.846332788197930199e+02,-2.813862333401198725e+02
3.250872973854343484e-02,2.657494766863070623e+01,2.072893017887269451e+01,-2.848002023652505272e+02,-2.814007854255838197e+02
3.311311214825911342e-02,2.672737766499308520e+01,2.088574357678177762e+01,-2.849716635273747443e+02,-2.814191029154273451e+02
3.372873086588688840e-02,2.687956062539957358e+01,2.104253463865579477e+01,-2.851476950241412851e+02,-2.814411905621490746e+02
3.435579478998746633e-02,2.703148732838275592e+01,2.119929914451243746e+01,-2.853283297861356118e+02,-2.814670540884668526e+02
3.499451670283573040e-02,2.718314830354740508e+01,2.135603284263308410e+01,-2.855136009055579507e+02,-2.814967001843278354e+02
3.564511334262442793e-02,2.733453382554515798e+01,2.151273144452494179e+01,-2.857035415827176621e+02,-2.815301365033780030e+02
3.630780547701013827e-02,2.748563390814219787e+01,2.166939061985842585e+01,-2.858981850699428264e+02,-2.815673716588784714e+02
3.698281797802662613e-02,2.763643829839729094e+01,2.182600599137690978e+01,-2.860975646128338212e+02,-2.816084152190503573e+02
3.767037989839089329e-02,2.778693647096868702e+01,2.198257312977566613e+01,-2.863017133887880163e+02,-2.816532777018307456e+02
3.837072454922788034e-02,2.793711762256980791e+01,2.213908754854713834e+01,-2.865106644427317519e+02,-2.817019705690189539e+02
3.908408957924021376e-02,2.808697066659479447e+01,2.229554469878981138e+01,-2.867244506199921261e+02,-2.817545062197886523e+02
3.981071705534973415e-02,2.823648422793652912e+01,2.245193996397789249e+01,-2.869431044962519195e+02,-2.818108979835429295e+02
4.055085354483839444e-02,2.838564663802109322e+01,2.260826865468940738e+01,-2.871666583045320635e+02,-2.818711601120825208e+02
4.130475019901614503e-02,2.853444593008388352e+01,2.276452600329031384e+01,-2.873951438591514602e+02,-2.819353077710601383e+02
4.207266283844442178e-02,2.868286983471432450e+01,2.292070715857241936e+01,-2.876285924766236235e+02,-2.820033570306862885e+02
4.285485203974396390e-02,2.883090577569720736e+01,2.307680718034320222e+01,-2.878670348934526260e+02,-2.820753248556550261e+02
4.365158322401661156e-02,2.897854086618041691e+01,2.323282103396573817e+01,-2.881105011808028280e+02,-2.821512290942516756e+02
4.446312674691089289e-02,2.912576190520006136e+01,2.338874358484711991e+01,-2.883590206560222100e+02,-2.822310884666045467e+02
4.528975799036209088e-02,2.927255537459546986e+01,2.354456959287425377e+01,-2.886126217910126570e+02,-2.823149225520396612e+02
4.613175745603794592e-02,2.941890743634794347e+01,2.370029370679589675e+01,-2.888713321174490716e+02,-2.824027517754952896e+02
4.698941086052155908e-02,2.956480393037844578e+01,2.385591045855029790e+01,-2.891351781288612415e+02,-2.824945973929507090e+02
4.786300923226385201e-02,2.971023037284068025e+01,2.401141425753795033e+01,-2.894041851796081346e+02,-2.825904814758214911e+02
4.875284901033865442e-02,2.985517195494740150e+01,2.416679938483958878e+01,-2.896783773807842408e+02,-2.826904268942715248e+02
4.965923214503362854e-02,2.999961354236862121e+01,2.432205998737963171e+01,-2.899577774931174758e+02,-2.827944572993887959e+02
5.058246620031139895e-02,3.014353967524180433e+01,2.447719007203579267e+01,-2.902424068169308953e+02,-2.829025971041712637e+02
5.152286445817564481e-02,3.028693456883482682e+01,2.463218349969614707e+01,-2.905322850792601912e+02,-2.830148714632652514e+02
5.248074602497725810e-02,3.042978211490320462e+01,2.478703397926506113e+01,-2.908274303182373615e+02,-2.831313062513976888e+02
5.345643593969716389e-02,3.057206588378418743e+01,2.494173506162038123e+01,-2.911278587648704388e+02,-2.832519280404412712e+02
5.445026528424212059e-02,3.071376912727016162e+01,2.509628013352421050e+01,-2.914335847223713358e+02,-2.833767640750492660e+02
5.546257129579107437e-02,3.085487478230460567e+01,2.525066241149072255e+01,-2.917446204432039281e+02,-2.835058422467942592e+02
5.649369748123025253e-02,3.099536547554370713e+01,2.540487493561463594e+01,-2.920609760040505307e+02,-2.836391910667450702e+02
5.754399373371569398e-02,3.113522352882649358e+01,2.555891056336485434e+01,-2.923826591789176064e+02,-2.837768396364107844e+02
5.861381645140287255e-02,3.127443096559611746e+01,2.571276196334838460e+01,-2.927096753106259257e+02,-2.839188176169836311e+02
5.970352865838369355e-02,3.141296951831404272e+01,2.586642160905021370e+01,-2.930420271809591100e+02,-2.840651551968066428e+02
6.081350012787179599e-02,3.155082063690795025e+01,2.601988177255591239e+01,-2.933797148797683576e+02,-2.842158830569933912e+02
6.194410750767814777e-02,3.168796549829283293e+01,2.617313451826413484e+01,-2.937227356733604893e+02,-2.843710323351246529e+02
6.309573444801933051e-02,3.182438501700303135e+01,2.632617169659729228e+01,-2.940710838725237295e+02,-2.845306345869458369e+02
6.426877173170197910e-02,3.196005985697084029e+01,2.647898493771953810e+01,-2.944247507005730995e+02,-2.846947217459889998e+02
6.546361740672750062e-02,3.209497044448504965e+01,2.663156564527191250e+01,-2.947837241618269672e+02,-2.848633260810414640e+02
6.668067692136221691e-02,3.222909698235964981e+01,2.678390499013581305e+01,-2.951479889109531314e+02,-2.850364801513836142e+02
6.792036326171846383e-02,3.236241946533975522e+01,2.693599390423668893e+01,-2.955175261236507822e+02,-2.852142167597185107e+02
6.918309709189363055e-02,3.249491769676830444e+01,2.708782307440096560e+01,-2.958923133691631051e+02,-2.853965689027151029e+02
7.046930689671467019e-02,3.262657130653227711e+01,2.723938293628057394e+01,-2.962723244851398476e+02,-2.855835697190904057e+02
7.177942912713615453e-02,3.275735977030331014e+01,2.739066366836013700e+01,-2.966575294553957747e+02,-2.857752524351521970e+02
7.311390834834172181e-02,3.288726243008185435e+01,2.754165518606360408e+01,-2.970478942911340710e+02,-2.859716503077313519e+02
7.447319739059889143e-02,3.301625851604875805e+01,2.769234713597786168e+01,-2.974433809162253510e+02,-2.861727965644302571e+02
7.585775750291835762e-02,3.314432716972212489e+01,2.784272889021249142e+01,-2.978439470571540824e+02,-2.863787243411185841e+02
7.726805850957021993e-02,3.327144746841062783e+01,2.799278954091597882e+01,-2.982495461382596318e+02,-2.865894666166101956e+02
7.870457896950984467e-02,3.339759845094793178e+01,2.814251789496999479e+01,-2.986601271829156872e+02,-2.868050561444591722e+02
8.016780633876789686e-02,3.352275914468513207e+01,2.829190246888492766e+01,-2.990756347213016966e+02,-2.870255253818172037e+02
8.165823713585922128e-02,3.364690859371083320e+01,2.844093148392100900e+01,-2.994960087054280962e+02,-2.872509064152990277e+02
8.317637711026708291e-02,3.377002588826027818e+01,2.858959286146093959e+01,-2.999211844320824980e+02,-2.874812308838102695e+02
8.472274141405965187e-02,3.389209019526666822e+01,2.873787421866137137e+01,-3.003510924743602004e+02,-2.877165298982958461e+02
8.629785477669701943e-02,3.401308078999933571e+01,2.888576286441186625e+01,-3.007856586224417015e+02,-2.879568339583789793e+02
8.790225168308841985e-02,3.413297708872458003e+01,2.903324579563161834e+01,-3.012248038342676182e+02,-2.882021728658634174e+02
8.953647655495937385e-02,3.425175868231622189e+01,2.918030969393546670e+01,-3.016684441967461225e+02,-2.884525756350875554e+02
9.120108393559096804e-02,3.436940537073402879e+01,2.932694092270216402e+01,-3.021164908981101576e+02,-2.887080704001232903e+02
9.289663867799362318e-02,3.448589719827907629e+01,2.947312552457935197e+01,-3.025688502120135581e+02,-2.889686843188283660e+02
9.462371613657930003e-02,3.460121448952668999e+01,2.961884921946082727e+01,-3.030254234939247340e+02,-2.892344434737702841e+02
9.638290236239706321e-02,3.471533788582861746e+01,2.976409740297311401e+01,-3.034861071903388847e+02,-2.895053727700562831e+02
9.817479430199843593e-02,3.482824838226807174e+01,2.990885514550951996e+01,-3.039507928612878231e+02,-2.897814958301152046e+02
1.000000000000000056e-01,3.493992736494328000e+01,3.005310719185080970e+01,-3.044193672165744715e+02,-2.900628348854953629e+02
1.018591388054116975e-01,3.505035664844751864e+01,3.019683796141293186e+01,-3.048917121661081637e+02,-2.903494106657591942e+02
1.037528415818012584e-01,3.515951851340721390e+01,3.034003154916281630e+01,-3.053677048846539037e+02,-2.906412422845717742e+02
1.056817509213658496e-01,3.526739574393283760e+01,3.048267172724425578e+01,-3.058472178912439858e+02,-2.909383471231013232e+02
1.076465213629834994e-01,3.537397166483253130e+01,3.062474194735622035e+01,-3.063301191434309771e+02,-2.912407407108701136e+02
1.096478196143185202e-01,3.547923017843325511e+01,3.076622534392667419e+01,-3.068162721464836977e+02,-2.915484366042140891e+02
1.116863247780561230e-01,3.558315580085111662e+01,3.090710473812483983e+01,-3.073055360775518920e+02,-2.918614462625342867e+02
1.137627285823430978e-01,3.568573369754946611e+01,3.104736264275511815e+01,-3.077977659247392808e+02,-2.921797789225453243e+02
1.158777356155126226e-01,3.578694971802220692e+01,3.118698126807538884e+01,-3.082928126409421452e+02,-2.925034414707508859e+02
1.180320635651729844e-01,3.588679042943917352e+01,3.132594252858210382e+01,-3.087905233122206710e+02,-2.928324383144031344e+02
1.202264434617413141e-01,3.598524314909144550e+01,3.146422805080352347e+01,-3.092907413403835335e+02,-2.931667712512268054e+02
1.224616199265049082e-01,3.608229597547654066e+01,3.160181918214154706e+01,-3.097933066393737249e+02,-2.935064393382187404e+02
1.247383514242943192e-01,3.617793781786670593e+01,3.173869700080089018e+01,-3.102980558449569344e+02,-2.938514387598584676e+02
1.270574105208542026e-01,3.627215842420857683e+01,3.187484232684280272e+01,-3.108048225371238118e+02,-2.942017626960947609e+02
1.294195841449986284e-01,3.636494840720789767e+01,3.201023573439795911e+01,-3.113134374745313835e+02,-2.945574011905024463e+02
1.318256738556407293e-01,3.645629926846081048e+01,3.214485756507088610e+01,-3.118237288402261811e+02,-2.949183410190281620e+02
1.342764961137864199e-01,3.654620342050135662e+01,3.227868794256507101e+01,-3.123355224978118940e+02,-2.952845655597769223e+02
1.367728825595849462e-01,3.663465420664450534e+01,3.241170678855436194e+01,-3.128486422571486969e+02,-2.956560546643148086e+02
1.393156802945303419e-01,3.672164591851505122e+01,3.254389383982274353e+01,-3.133629101486037598e+02,-2.960327845309914210e+02
