gm_id_vec,Vn_in_rms_0,Vn_in_rms_1,Vn_in_rms_2,Vn_in_rms_3,Vn_in_rms_4,Vn_in_rms_5
5.000000000000000000e+00,3.640635988395434879e+02,2.574318395226200664e+02,1.820317994197717439e+02,1.486283418463652310e+02,1.287159197613100332e+02,1.151270185490790823e+02
5.500000000000000000e+00,3.471210215996196666e+02,2.454516282654931274e+02,1.735605107998098333e+02,1.417115636521144211e+02,1.227258141327465637e+02,1.097693051979302794e+02
6.000000000000000000e+00,3.323430757515492360e+02,2.350020425443149179e+02,1.661715378757746180e+02,1.356784925230720944e+02,1.175010212721574590e+02,1.050961083960771560e+02
6.500000000000000000e+00,3.193048988999988183e+02,2.257826592782741386e+02,1.596524494499994091e+02,1.303556791126611358e+02,1.128913296391370693e+02,1.009730748573789185e+02
7.000000000000000000e+00,3.076898995510159693e+02,2.175696144751310328e+02,1.538449497755079847e+02,1.256138754846999888e+02,1.087848072375655164e+02,9.730008956096303052e+01
7.500000000000000000e+00,2.972566836927304621e+02,2.101922167921543121e+02,1.486283418463652310e+02,1.213545329465144675e+02,1.050961083960771560e+02,9.400081701772596432e+01
8.000000000000000000e+00,2.878175463726977341e+02,2.035177387846081558e+02,1.439087731863488671e+02,1.175010212721574590e+02,1.017588693923040779e+02,9.101589970988587197e+01
8.500000000000000000e+00,2.792240340237039504e+02,1.974412079284243475e+02,1.396120170118519752e+02,1.139927345466006727e+02,9.872060396421217376e+01,8.829839249752545527e+01
9.000000000000000000e+00,2.713569850461441888e+02,1.918783642484651466e+02,1.356784925230720944e+02,1.107810252505164073e+02,9.593918212423257330e+01,8.581061317420669354e+01
9.500000000000000000e+00,2.641194944876675663e+02,1.867606855957926939e+02,1.320597472438337832e+02,1.078263321027699675e+02,9.338034279789634695e+01,8.352191770333165266e+01
1.000000000000000000e+01,2.574318395226200664e+02,1.820317994197717439e+02,1.287159197613100332e+02,1.050961083960771560e+02,9.101589970988587197e+01,8.140709551384327369e+01
1.050000000000000000e+01,2.512277509693999775e+02,1.776448463327079708e+02,1.256138754846999888e+02,1.025632998503386517e+02,8.882242316635398538e+01,7.944519045048785699e+01
1.100000000000000000e+01,2.454516282654931274e+02,1.735605107998098333e+02,1.227258141327465637e+02,1.002052076309591655e+02,8.678025539990491666e+01,7.761862007159224675e+01
1.150000000000000000e+01,2.400564281489920404e+02,1.697455282115734860e+02,1.200282140744960202e+02,9.800262640668717040e+01,8.487276410578674302e+01,7.591250799153732487e+01
1.200000000000000000e+01,2.350020425443149179e+02,1.661715378757746180e+02,1.175010212721574590e+02,9.593918212423257330e+01,8.308576893788730899e+01,7.431417092318261552e+01
1.250000000000000000e+01,2.302540370981581646e+02,1.628141910276865474e+02,1.151270185490790823e+02,9.400081701772596432e+01,8.140709551384327369e+01,7.281271976790868905e+01
1.300000000000000000e+01,2.257826592782741386e+02,1.596524494499994091e+02,1.128913296391370693e+02,9.217538466674027120e+01,7.982622472499970456e+01,7.139874594890952153e+01
1.350000000000000000e+01,2.215620505010328145e+02,1.566680283628766119e+02,1.107810252505164073e+02,9.045232834871472960e+01,7.833401418143830597e+01,7.006407226405144684e+01
1.400000000000000000e+01,2.175696144751310328e+02,1.538449497755079847e+02,1.087848072375655164e+02,8.882242316635398538e+01,7.692247488775399233e+01,6.880155313861536115e+01
1.450000000000000000e+01,2.137855064278696489e+02,1.511691813145468473e+02,1.068927532139348244e+02,8.727756752512898686e+01,7.558459065727342363e+01,6.760491310446356295e+01
