gm_id_vec,Vn_in_rms_0,Vn_in_rms_1,Vn_in_rms_2,Vn_in_rms_3,Vn_in_rms_4,Vn_in_rms_5
5.000000000000000000e+00,2.103777639659838030e+02,1.590306413805253385e+02,1.257247611299710854e+02,1.124516449366154376e+02,1.051888819829919015e+02,1.005798089039768684e+02
5.500000000000000000e+00,2.005873275507049982e+02,1.516297671000629350e+02,1.198738562792658229e+02,1.072184365461913558e+02,1.002936637753524991e+02,9.589908502341266683e+01
6.000000000000000000e+00,1.920477448694446991e+02,1.451744493643804219e+02,1.147704795130564293e+02,1.026538376005764377e+02,9.602387243472236378e+01,9.181638361044514340e+01
6.500000000000000000e+00,1.845135049702474532e+02,1.394790993383300304e+02,1.102679099745018192e+02,9.862661697592524490e+01,9.225675248512374083e+01,8.821432797960144967e+01
7.000000000000000000e+00,1.778016623161227869e+02,1.344054231949558869e+02,1.062568167937214838e+02,9.503898616940097099e+01,8.890083115806140768e+01,8.500545343497718420e+01
7.500000000000000000e+00,1.717727249814459469e+02,1.298479749499422837e+02,1.026538376005764519e+02,9.181638361044514340e+01,8.588636249072298767e+01,8.212307008046116152e+01
8.000000000000000000e+00,1.663182257964517134e+02,1.257247611299710854e+02,9.939415086282834011e+01,8.890083115806140768e+01,8.315911289822587094e+01,7.951532069026266925e+01
8.500000000000000000e+00,1.613523793939054940e+02,1.219709340928047965e+02,9.642649001788657870e+01,8.624647460467970461e+01,8.067618969695274700e+01,7.714119201430926864e+01
9.000000000000000000e+00,1.568063270607818538e+02,1.185344415440819006e+02,9.370970411384620036e+01,8.381650741998072363e+01,7.840316353039092689e+01,7.496776329107696313e+01
9.500000000000000000e+00,1.526240713085710468e+02,1.153729533613335860e+02,9.121032825054837190e+01,8.158099768731824497e+01,7.631203565428553759e+01,7.296826260043870604e+01
1.000000000000000000e+01,1.487595435112100404e+02,1.124516449366154518e+02,8.890083115806140768e+01,7.951532069026266925e+01,7.437977175560503440e+01,7.112066492644913751e+01
1.050000000000000000e+01,1.451744493643803651e+02,1.097415684968255789e+02,8.675832761233736790e+01,7.759900726215334998e+01,7.258722468219019675e+01,6.940666208986989716e+01
1.100000000000000000e+01,1.418366595311906906e+02,1.072184365461913700e+02,8.476361666205045253e+01,7.581488355003146751e+01,7.091832976559534529e+01,6.781089332964037908e+01
1.150000000000000000e+01,1.387189895958375416e+02,1.048616995979264317e+02,8.290045251145257055e+01,7.414841887244044472e+01,6.935949479791878503e+01,6.632036200916205360e+01
1.200000000000000000e+01,1.357982627087683341e+02,1.026538376005764661e+02,8.115498434371393444e+01,7.258722468219019675e+01,6.789913135438418124e+01,6.492398747497114186e+01
1.250000000000000000e+01,1.330545806371613651e+02,1.005798089039768684e+02,7.951532069026266925e+01,7.112066492644912330e+01,6.652729031858069675e+01,6.361225655221014108e+01
1.300000000000000000e+01,1.304707505849597169e+02,9.862661697592525911e+01,7.797118689023797344e+01,6.973954966916500098e+01,6.523537529247987266e+01,6.237694951219037875e+01
1.350000000000000000e+01,1.280318299129631328e+02,9.678296624292026706e+01,7.651365300870428143e+01,6.843589173371763934e+01,6.401591495648158059e+01,6.121092240696344078e+01
1.400000000000000000e+01,1.257247611299710570e+02,9.503898616940099942e+01,7.513491570213707860e+01,6.720271159747792922e+01,6.286238056498554272e+01,6.010793256170966714e+01
1.450000000000000000e+01,1.235380767371174926e+02,9.338600814103618575e+01,7.382812182917527366e+01,6.603387962446880977e+01,6.176903836855874630e+01,5.906249746334022888e+01
1.500000000000000000e+01,1.214616586572722952e+02,9.181638361044514340e+01,7.258722468219019675e+01,6.492398747497114186e+01,6.073082932863615468e+01,5.806977974575216450e+01
