gm_id_vec,Vn_in_rms_0,Vn_in_rms_1,Vn_in_rms_2,Vn_in_rms_3,Vn_in_rms_4,Vn_in_rms_5
1.500000000000000000e+01,1.060840393482659749e+02,8.019199605391496277e+01,6.339733941140151785e+01,5.670430420660812132e+01,5.304201967413299457e+01,5.071787152912121854e+01
1.550000000000000000e+01,1.043589806533714182e+02,7.888797425286335852e+01,6.236641965894201434e+01,5.578222154826944035e+01,5.217949032668571618e+01,4.989313572715361289e+01
1.600000000000000000e+01,1.027154294235616021e+02,7.764556630398588766e+01,6.138420993355429545e+01,5.490370646261810350e+01,5.135771471178080816e+01,4.910736794684344630e+01
1.650000000000000000e+01,1.011471628346289720e+02,7.646006819433809198e+01,6.044699138647653314e+01,5.406543271020230890e+01,5.057358141731448598e+01,4.835759310918122367e+01
1.700000000000000000e+01,9.964860350447543169e+01,7.532726381934901383e+01,5.955143089438428916e+01,5.326441905488974271e+01,4.982430175223772295e+01,4.764114471550743701e+01
1.750000000000000000e+01,9.821473589368687840e+01,7.424336178759560312e+01,5.869453109917806444e+01,5.249798457809504271e+01,4.910736794684343920e+01,4.695562487934245866e+01
1.800000000000000000e+01,9.684103557051818711e+01,7.320494195015749028e+01,5.787358813572650718e+01,5.176371086932391563e+01,4.842051778525910066e+01,4.629887050858121000e+01
1.850000000000000000e+01,9.552340906437163426e+01,7.220890993412014325e+01,5.708615568744466628e+01,5.105940987650500773e+01,4.776170453218582423e+01,4.566892454995574013e+01
1.900000000000000000e+01,9.425814248414511098e+01,7.125245830169713201e+01,5.633001427988395449e+01,5.038309644134174903e+01,4.712907124207256970e+01,4.506401142390716785e+01
1.950000000000000000e+01,9.304185743087909088e+01,7.033303322332375274e+01,5.560314493349928000e+01,4.973296473363096482e+01,4.652092871543955255e+01,4.448251594679943111e+01
2.000000000000000000e+01,9.187147301166631053e+01,6.944830576287181145e+01,5.490370646261810350e+01,4.910736794684343920e+01,4.593573650583316237e+01,4.392296517009449275e+01
2.050000000000000000e+01,9.074417298141682409e+01,6.859614703915873690e+01,5.423001583888925126e+01,4.850480073465865161e+01,4.537208649070841915e+01,4.338401267111140669e+01
2.100000000000000000e+01,8.965737721397434257e+01,6.777460666013864454e+01,5.358053114201386791e+01,4.792388396163497788e+01,4.482868860698717839e+01,4.286442491361109575e+01
2.150000000000000000e+01,8.860871684419763028e+01,6.698189393208198794e+01,5.295383670429770717e+01,4.736335141609323784e+01,4.430435842209882225e+01,4.236306936343816432e+01
2.200000000000000000e+01,8.759601253550992794e+01,6.621636143138734099e+01,5.234863012302781726e+01,4.682203819363335384e+01,4.379800626775496397e+01,4.187890409842226092e+01
2.250000000000000000e+01,8.661725541886151802e+01,6.547649059579126174e+01,5.176371086932391563e+01,4.629887050858120290e+01,4.330862770943075901e+01,4.141096869545913961e+01
2.300000000000000000e+01,8.567059032349905578e+01,6.476087904802145090e+01,5.119797026660616979e+01,4.579285673045777116e+01,4.283529516174953500e+01,4.095837621328494293e+01
2.350000000000000000e+01,8.475430098084564179e+01,6.406822941098151603e+01,5.065038264822239000e+01,4.530307947512043398e+01,4.237715049042282089e+01,4.052030611857791342e+01
2.400000000000000000e+01,8.386679693286120596e+01,6.339733941140151785e+01,5.011999753369685351e+01,4.482868860698717839e+01,4.193339846643060298e+01,4.009599802695748139e+01
2.450000000000000000e+01,8.300660191758701956e+01,6.274709310013499675e+01,4.960593268776558062e+01,4.436889503084906750e+01,4.150330095879350978e+01,3.968474615021246876e+01
2.500000000000000000e+01,8.217234353884927600e+01,6.211645304318871297e+01,4.910736794684343920e+01,4.392296517009448564e+01,4.108617176942464511e+01,3.928589435747475989e+01
