gm_id_vec,Vn_in_rms_0,Vn_in_rms_1,Vn_in_rms_2,Vn_in_rms_3,Vn_in_rms_4,Vn_in_rms_5
5.000000000000000000e+00,1.192729810353939968e+02,1.179402802008104914e+02,1.124516449366154376e+02,1.026538376005764661e+02,9.738598121245672701e+01,9.408379623646912648e+01
5.500000000000000000e+00,1.137223253250471942e+02,1.124516449366154376e+02,1.072184365461913558e+02,9.787659379464217579e+01,9.285388980305158668e+01,8.970537996567855998e+01
6.000000000000000000e+00,1.088808370232852951e+02,1.076642531741064062e+02,1.026538376005764377e+02,9.370970411384620036e+01,8.890083115806140768e+01,8.588636249072298767e+01
6.500000000000000000e+00,1.046093245037475299e+02,1.034404685494389042e+02,9.862661697592524490e+01,9.003337148022703218e+01,8.541315579046883499e+01,8.251694797604373832e+01
7.000000000000000000e+00,1.008040673962169080e+02,9.967772961558841871e+01,9.503898616940097099e+01,8.675832761233736790e+01,8.230617637261916286e+01,7.951532069026266925e+01
7.500000000000000000e+00,9.738598121245671280e+01,9.629783553761974702e+01,9.181638361044514340e+01,8.381650741998072363e+01,7.951532069026266925e+01,7.681909794777789102e+01
8.000000000000000000e+00,9.429357084747830697e+01,9.323997832825550347e+01,8.890083115806140768e+01,8.115498434371393444e+01,7.699037820043233182e+01,7.437977175560503440e+01
8.500000000000000000e+00,9.147820056960358670e+01,9.045606568887038179e+01,8.624647460467970461e+01,7.873189941046589979e+01,7.469163799450208785e+01,7.215897773122181036e+01
9.000000000000000000e+00,8.890083115806140768e+01,8.790749460479493393e+01,8.381650741998072363e+01,7.651365300870429564e+01,7.258722468219019675e+01,7.012592132199462469e+01
9.500000000000000000e+00,8.652971502100018597e+01,8.556287221700804935e+01,8.158099768731824497e+01,7.447292116186832800e+01,7.065121646329714622e+01,6.825555968974805410e+01
1.000000000000000000e+01,8.433873370246158174e+01,8.339637190503461284e+01,7.951532069026266925e+01,7.258722468219021096e+01,6.886228770783385755e+01,6.652729031858069675e+01
1.050000000000000000e+01,8.230617637261916286e+01,8.138652542576627980e+01,7.759900726215334998e+01,7.083787786248099394e+01,6.720271159747794343e+01,6.492398747497114186e+01
1.100000000000000000e+01,8.041382740964351683e+01,7.951532069026266925e+01,7.581488355003146751e+01,6.920920319163263912e+01,6.565761513928620730e+01,6.343128248264717683e+01
1.150000000000000000e+01,7.864627469844482732e+01,7.776751779124218444e+01,7.414841887244044472e+01,6.768793603296235517e+01,6.421441439398293483e+01,6.203701810127576977e+01
1.200000000000000000e+01,7.699037820043233182e+01,7.613012351079589735e+01,7.258722468219019675e+01,6.626276724188556955e+01,6.286238056498554272e+01,6.073082932863615468e+01
1.250000000000000000e+01,7.543485667798265126e+01,7.459198266260440846e+01,7.112066492644912330e+01,6.492398747497114186e+01,6.159230256034586404e+01,5.950381740448403178e+01
1.300000000000000000e+01,7.396996273194393723e+01,7.314345676042204047e+01,6.973954966916500098e+01,6.366320750675604501e+01,6.039622166198354591e+01,5.834829347667808008e+01
1.350000000000000000e+01,7.258722468219019675e+01,7.177616878273759937e+01,6.843589173371763934e+01,6.247313607589746454e+01,5.926722077204094319e+01,5.725757499381532512e+01
1.400000000000000000e+01,7.127923962705074246e+01,7.048279854446172976e+01,6.720271159747792922e+01,6.134740177908784631e+01,5.819925544661501249e+01,5.622582246830772590e+01
1.450000000000000000e+01,7.003950610577713576e+01,6.925691722914558568e+01,6.603387962446880977e+01,6.028040904983723181e+01,5.718701726523362083e+01,5.524790747875603358e+01
1.500000000000000000e+01,6.886228770783385755e+01,6.809285252223783402e+01,6.492398747497114186e+01,5.926722077204095029e+01,5.622582246830771879e+01,5.431930508350734499e+01
