gm_id_vec,Vn_in_rms_0,Vn_in_rms_1,Vn_in_rms_2,Vn_in_rms_3,Vn_in_rms_4,Vn_in_rms_5
1.500000000000000000e+01,6.014399704043621142e+01,5.947197598122254192e+01,5.670430420660812132e+01,5.176371086932392274e+01,4.910736794684343920e+01,4.744222466209703981e+01
1.550000000000000000e+01,5.916598068964751178e+01,5.850488753041267387e+01,5.578222154826944035e+01,5.092196841622987336e+01,4.830882094033305663e+01,4.667075496070479090e+01
1.600000000000000000e+01,5.823417472798940508e+01,5.758349313533060609e+01,5.490370646261810350e+01,5.011999753369685351e+01,4.754800455855114194e+01,4.593573650583316237e+01
1.650000000000000000e+01,5.734505114575355122e+01,5.670430420660812132e+01,5.406543271020230890e+01,4.935476179442580502e+01,4.682203819363335384e+01,4.523438636589414585e+01
1.700000000000000000e+01,5.649544786451174616e+01,5.586419399741119207e+01,5.326441905488974271e+01,4.862353971461853064e+01,4.612834001935443951e+01,4.456421025978617934e+01
1.750000000000000000e+01,5.568252134069669523e+01,5.506035073660624590e+01,5.249798457809504271e+01,4.792388396163497788e+01,4.546458829211399433e+01,4.392296517009449275e+01
1.800000000000000000e+01,5.490370646261810350e+01,5.429023797386837202e+01,5.176371086932391563e+01,4.725358683884010702e+01,4.482868860698718549e+01,4.330862770943076612e+01
1.850000000000000000e+01,5.415668245059010388e+01,5.355156086082487121e+01,5.105940987650500773e+01,4.661065093710643481e+01,4.421874605529540503e+01,4.271936722209092352e+01
1.900000000000000000e+01,5.343934372627284546e+01,5.284223734588930910e+01,5.038309644134174903e+01,4.599326406313523563e+01,4.363304143952331060e+01,4.215352280548187736e+01
1.950000000000000000e+01,5.274977491749280745e+01,5.216037345836626571e+01,4.973296473363096482e+01,4.539977772703097969e+01,4.307001086484000751e+01,4.160958359365792347e+01
2.000000000000000000e+01,5.208622932215386214e+01,5.150424201299669136e+01,4.910736794684343920e+01,4.482868860698718549e+01,4.252822815495608921e+01,4.108617176942465221e+01
2.050000000000000000e+01,5.144711027936905623e+01,5.087226418924007021e+01,4.850480073465865161e+01,4.427862251610950750e+01,4.200638964171650258e+01,4.058202786968956133e+01
2.100000000000000000e+01,5.083095499510397985e+01,5.026299353764237310e+01,4.792388396163497788e+01,4.374832048174587129e+01,4.150330095879351688e+01,4.009599802695748139e+01
2.150000000000000000e+01,5.023642044906149806e+01,4.967510204419085795e+01,4.736335141609323784e+01,4.323662661606419988e+01,4.101786553470640939e+01,3.962702285253131151e+01
2.200000000000000000e+01,4.966227107354050929e+01,4.910736794684343920e+01,4.682203819363335384e+01,4.274247751170238274e+01,4.054907453265172990e+01,3.917412771746478484e+01
2.250000000000000000e+01,4.910736794684343920e+01,4.855866504968405195e+01,4.629887050858120290e+01,4.226489294093435234e+01,4.009599802695748139e+01,3.873641422820728053e+01
2.300000000000000000e+01,4.857065928601608817e+01,4.802795332189219124e+01,4.579285673045777116e+01,4.180296767312332662e+01,3.965777724043764607e+01,3.831305272717592203e+01
2.350000000000000000e+01,4.805117205823613347e+01,4.751427060286189175e+01,4.530307947512043398e+01,4.135586425495460361e+01,3.923361769511968333e+01,3.790327567572959566e+01
2.400000000000000000e+01,4.754800455855113483e+01,4.701672526287262599e+01,4.482868860698717839e+01,4.092280662236953503e+01,3.882278315199293672e+01,3.750637179940970611e+01
2.450000000000000000e+01,4.706031982510123157e+01,4.653448969188717399e+01,4.436889503084906750e+01,4.050307443329151624e+01,3.842459023456044065e+01,3.712168089379780156e+01
2.500000000000000000e+01,4.658733978239151696e+01,4.606679450826448630e+01,4.392296517009448564e+01,4.009599802695748139e+01,3.803840364684091213e+01,3.674858920466652989e+01
